inscription,site,n_words,syme_flag,source
APZa2,Apodoulou,4,0,Briakos2026_AppE_lineara_snapshot
ARZf1,Arkhalkhori,1,0,Briakos2026_AppE_lineara_snapshot
ARZf2,Arkhalkhori,1,0,Briakos2026_AppE_lineara_snapshot
IOZa2,Iouktas,10,0,Briakos2026_AppE_lineara_snapshot
IOZa3,Iouktas,3,0,Briakos2026_AppE_lineara_snapshot
IOZa4,Iouktas,1,0,Briakos2026_AppE_lineara_snapshot
IOZa6,Iouktas,4,0,Briakos2026_AppE_lineara_snapshot
IOZa7,Iouktas,4,0,Briakos2026_AppE_lineara_snapshot
IOZa8,Iouktas,5,0,Briakos2026_AppE_lineara_snapshot
IOZa9,Iouktas,5,0,Briakos2026_AppE_lineara_snapshot
IOZb10,Iouktas,6,0,Briakos2026_AppE_lineara_snapshot
KNZa10,Knossos,5,0,Briakos2026_AppE_lineara_snapshot
KNZc7,Knossos,4,0,Briakos2026_AppE_lineara_snapshot
KNZe44,Knossos,3,0,Briakos2026_AppE_lineara_snapshot
KOZa1,Kophinas,14,0,Briakos2026_AppE_lineara_snapshot
MAZb8,Malia,4,0,Briakos2026_AppE_lineara_snapshot
PKZa4,Palaikastro,3,0,Briakos2026_AppE_lineara_snapshot
PKZa8,Palaikastro,7,0,Briakos2026_AppE_lineara_snapshot
PKZa11,Palaikastro,5,0,Briakos2026_AppE_lineara_snapshot
PKZa12,Palaikastro,4,0,Briakos2026_AppE_lineara_snapshot
PKZa15,Palaikastro,2,0,Briakos2026_AppE_lineara_snapshot
PKZa17,Palaikastro,5,0,Briakos2026_AppE_lineara_snapshot
PKZa18,Palaikastro,5,0,Briakos2026_AppE_lineara_snapshot
PLZf1,Platanos,1,0,Briakos2026_AppE_lineara_snapshot
PRZa1,Prassa,2,0,Briakos2026_AppE_lineara_snapshot
PSZa2,Psykhro,4,0,Briakos2026_AppE_lineara_snapshot
SYZa1,Syme,3,1,Briakos2026_AppE_lineara_snapshot
SYZa3,Syme,2,1,Briakos2026_AppE_lineara_snapshot
TLZa1,Troullos,10,0,Briakos2026_AppE_lineara_snapshot
VRYZa1,Vrysinas,5,0,Briakos2026_AppE_lineara_snapshot
ZAZb3,Zakros,3,0,Briakos2026_AppE_lineara_snapshot
