inscription,site,support,context,phase_a_stone_frame,provenance
SYZa1,Syme,Stone vessel,MMIIIB,1,lineara.xyz@43fe7cf1
SYZa2,Syme,Stone vessel,LMI,1,lineara.xyz@43fe7cf1
SYZa3,Syme,Stone vessel,LMIA,1,lineara.xyz@43fe7cf1
SYZa4,Syme,Stone vessel,LMIA,1,lineara.xyz@43fe7cf1
SYZa5,Syme,Stone vessel,UNKNOWN,1,lineara.xyz@43fe7cf1
SYZa6,Syme,Stone vessel,MMIIIA,1,lineara.xyz@43fe7cf1
SYZb7,Syme,Clay vessel,UNKNOWN,0,lineara.xyz@43fe7cf1
SYZa8,Syme,Stone vessel,LMIA,1,lineara.xyz@43fe7cf1
SYZa9,Syme,Stone vessel,LMIA,1,lineara.xyz@43fe7cf1
SYZa10,Syme,Stone vessel,LMIA,1,lineara.xyz@43fe7cf1
SYZa11,Syme,Stone vessel,LMIA,1,lineara.xyz@43fe7cf1
SYZa12,Syme,Stone vessel,LMIA,1,lineara.xyz@43fe7cf1
