lead_id,family,form,inscription,site,scribe,object_type,local_context,numeric_or_logographic_context,evidence_tier,status,notes
21F-TU,bare,*21F-TU,HT94b,Haghia Triada,HT Scribe 9,tablet,"after DE-ME-TE 1","1",A,survives,"secure bare form; same scribe also writes extended form"
21F-TU,extended,*21F-TU-NE,HT87,Haghia Triada,HT Scribe 9,tablet,"header-like before MA-KA-RI-TE","no immediate numeral",A,survives,"same-scribe anti-orthography control"
21F-TU,extended,*21F-TU-NE,HT7b,Haghia Triada,HT Scribe 11,tablet,"first entry; DA-RU-*329 2 follows","1",A,survives,"cross-scribe replication"
KUPA3,bare,KU-PA3,HT101,Haghia Triada,HT Scribe 2,tablet,"KU-PA3 OLE+U 2","OLE+U; 2",B,reclassified,"likely onomastic/lexical family"
KUPA3,extended,KU-PA3-NU,HT117a,Haghia Triada,HT Scribe 9,tablet,"MA-RU 1 / KU-PA3-NU 1 / TU-JU-MA 1","1",A,reclassified,"probable personal-name material"
KUPA3,extended,KU-PA3-NU,HT88,Haghia Triada,HT Scribe 7,tablet,"KA-JU 1 / KU-PA3-NU 1 / PA-JA-RE 1","1",A,reclassified,"same tablet also has KU-PA3-PA3"
KUPA3,extended,KU-PA3-NU,HT1,Haghia Triada,HT Scribe 21,tablet,"DI-DI-ZA-KE 52 / KU-PA3-NU 109 / A-RA-NA-RE 105","109",A,reclassified,"cross-scribe onomastic support"
KUPA3,extended,KU-PA3-PA3,HT88,Haghia Triada,HT Scribe 7,tablet,"KI-RO / KU-PA3-PA3 1 / KA-JU 1","1",A,reclassified,"distinct family form under same scribe as -NU"
KUPA3,extended,KU-PA3-NA-TU,HT119,Haghia Triada,HT Scribe 9,tablet,"KO-JA 10 / KU-PA3-NA-TU 7 / TI 7","7",A,reclassified,"Linear B personal-name parallel reported in scholarship"
KUPA3,extended,KU-PA3-RI-JA,HT24a,Haghia Triada,unknown,tablet,"initial word before KI-MA-RU","lexical/logographic context",B,reclassified,"secure family form; scribe unavailable"
DAKU,bare,DA-KU,SEZf1,Selakanos,unknown,bronze double axe,"entire inscription","none",B,context-limited,"shows DA-KU can stand alone; genre mismatch"
DAKU,extended,DA-KU-NA,HT103,Haghia Triada,HT Scribe 3,tablet,"*188 13 / DA-KU-NA 1 / DA-KU-SE-NE 1","1",A,survives,"same-tablet controlled family"
DAKU,extended,DA-KU-SE-NE,HT103,Haghia Triada,HT Scribe 3,tablet,"PA3 / form 6.5 and later form 1","6.5 or 1",A,survives,"same-scribe recurring form"
DAKU,extended,DA-KU-SE-NE-TI,HT104,Haghia Triada,HT Scribe 5,tablet,"first of three parallel -TI entries","45.5",A,survives,"raw transcription corrects derived layer; strongest TI lead"
TI,parallel,I-DU-TI,HT104,Haghia Triada,HT Scribe 5,tablet,"second of three parallel -TI entries","20.5",A,survives,"supports final TI distribution but not a general SI/TI opposition"
TI,parallel,PA-DA-SU-TI,HT104,Haghia Triada,HT Scribe 5,tablet,"third of three parallel -TI entries","29",A,survives,"supports final TI distribution but not a general SI/TI opposition"
JA,bare,PA-SE,HT18,Haghia Triada,unknown,tablet,"administrative entry","GRA+QE 20",A,survives,"complete base; also attested HT27b.5"
JA,bare,PA-SE,HT27b,Haghia Triada,unknown,tablet,"administrative entry","VIN+WA / SA 4 context",A,survives,"second base attestation"
JA,extended,PA-SE-JA,HTWc3001-3002,Haghia Triada,HT Wa Scribe 10,roundel,"complete word on roundel","quantity/receipt context",A,survives,"exact PA-SE base plus final JA"
JA,bare,KU-PA,HT110a,Haghia Triada,unknown,tablet,"administrative entry","context includes numerical entries",A,survives,"ordinary PA sign; distinct from KU-PA3 family"
JA,extended,KU-PA-JA,HT116a,Haghia Triada,unknown,tablet,"administrative entry","GRA 16",A,survives,"second independent exact base plus final JA"
SIDA,core,SI-DA-TE,ARKH2,Arkhanes,unknown,tablet,"line 1 administrative form","context to be fully validated",A,survives,"same tablet also contains A-SI-DA-TO-I"
SIDA,prefixed-extended,A-SI-DA-TO-I,ARKH2,Arkhanes,unknown,tablet,"lines 2-3 administrative form","context to be fully validated",A,survives,"same-tablet formal contrast; grammatical function unknown"
SIDA,extended,SI-DA-RE,HT17,Haghia Triada,unknown,tablet,"administrative entry","5",B,paradigm-candidate,"also HT122a.5; possible onomastic continuity with Linear B si-ta-ro"
SIDA,extended,SI-DA-RE,HT122a,Haghia Triada,unknown,tablet,"personnel-style list context","context to be validated",B,paradigm-candidate,"possible personal-name material"
SIDA,extended,SI-DA-RO,GO2,Gournia,unknown,tablet,"administrative text","1/4",B,paradigm-candidate,"hapax; publication notes cautious Cape Sidero/Sidaro comparison"
