commentary_id,form,table_occurrences,left_insecure_occurrences,right_insecure_occurrences,any_insecure_occurrences,source_files,evidence
2,DU-RI,1,1,0,1,2.html,B.1 OVISF 1 [ B.2 ]-DU-RI CAPM 1 B.2 TU-[ B.3
2,PA-TA-DA,1,0,1,1,2.html,NU SI+AU-RE 1 A.3-4 PA-TA-DA[ ] 1 A.4 KU-RO CAPM
APZa2,I-KU-PA,2,2,0,2,APZa2.html,-MA [ • • • • • • ] I-KU-PA 3-NA-TU-NA-TE [ .2: || : GORILA PERHAPS: ] I-KU-PA 3-NA-TU-NA-TE[. CF.
APZa2,I-NA-JA-RE-TA,3,0,3,3,APZa2.html, .2: ]PI-MI-NA-TE • I-NA-JA-RE-TA [ • • • ]-QA • .1:  || 2. I-]PI-MI-NA-TE • I-NA-JA-RE-TA [ ]QA • : 1. INVOCA || 2. I-]PI-MI-NA-TE • I-NA-JA-RE-TA [ ]QA • COMMENTARY 
APZa2,I-PI-NA-MA,1,0,1,1,APZa2.html,LM I]) .1: ]NA-SI • I-PI-NA-MA [ • • • • • • ] I-K
APZa2,NA-SI,3,3,0,3,APZa2.html,[MM III-LM I]) .1: ]NA-SI • I-PI-NA-MA [ • •  || A-SA-RA U-NA-RU-KA-]NA-SI • : 2. I-]PI-MI-NA-
APZa2,NA-TU-NA-TE,4,0,4,4,APZa2.html,• • • • ] I-KU-PA 3-NA-TU-NA-TE [ .2: ]PI-MI-NA-TE  || ERHAPS: ] I-KU-PA 3-NA-TU-NA-TE[. CF. KU-PA3-NA-TU  || PLACENAME]• KU-PA 3-NA-TU-NA-TE[ JA-SA-SA-RA U-NA-R
APZa2,PI-MI,1,1,0,1,APZa2.html,-2; HT 119.3). .2: ]PI-MI OVER [[ ]]. JGY: IF
APZa2,PI-MI-NA-TE,3,3,0,3,APZa2.html,-NA-TU-NA-TE [ .2: ]PI-MI-NA-TE • I-NA-JA-RE-TA [ • || KA-]NA-SI • : 2. I-]PI-MI-NA-TE • I-NA-JA-RE-TA [ ]
ARKH1,A-PA,1,0,1,1,ARKH1.html,8 [ A.5 ]NE 2 J A.5 A-PA-[ A.6 ]MI-KI-SA-NE[
ARKH1,A-RA,1,0,1,1,ARKH1.html,.1 ]KI[ A.2 ] • A.2 A-RA[ A.3 DEEST A.4 ]A-S
ARKH1,A-SU-MI,1,1,0,1,ARKH1.html,-RA[ A.3 DEEST A.4 ]A-SU-MI-* 118 [ A.5 ]NE 2 J
ARKH1,MI-KI-SA-NE,1,1,1,1,ARKH1.html,2 J A.5 A-PA-[ A.6 ]MI-KI-SA-NE[ SUPRA MUTILA SEPAR
ARKH1,PA-RE,1,1,0,1,ARKH1.html,MUTILA B.1 A[ B.1 ] PA-RE 3 [ B.2 ]PA 3 [ B.3
ARKH1,TA-PI,1,1,0,1,ARKH1.html,UMBER FRACTION A.1 ]TA-PI • A.1 QA [ A.1 ]KI[
ARKH3,JA-PI,1,1,0,1,ARKH3.html,2 [ A.6 ]KU 3 B.1 ]-JA-PI GRA 6 [ B.2 ]PI-PU 
ARKH3,KA-NE,1,1,0,1,ARKH3.html,"ER ""FRACTION"" A.1 ]-KA-NE GRA[ A.2 ]D A.2 OLI"
ARKH3,KI-NU,1,1,0,1,ARKH3.html,.3 [[*317 2 ]] A.4 ]KI-NU GRA 13[ A.5 ] TE 2 
ARKH3,PI-PU,1,1,0,1,ARKH3.html,-JA-PI GRA 6 [ B.2 ]PI-PU 3 GRA 1 [ ] B.2 OLE
ARKH4,*47-TE,1,1,0,1,ARKH4.html,U 4 A.3-4 DE-SU-[•]-*47-TE 5 A.4-5 PI-TI-NE-A-
ARKH4,DE-MI,1,1,0,1,ARKH4.html,-RE 10 B.2 U [ B.3 ]DE-MI 10 B.3 I-*47[ ] 9 B
ARKH4,DE-SU,1,0,1,1,ARKH4.html, A-[•]-•-JU 4 A.3-4 DE-SU-[•]-*47-TE 5 A.4-5 
ARKH4,I-*47,1,0,1,1,ARKH4.html,[ B.3 ]DE-MI 10 B.3 I-*47[ ] 9 B.4 A-KI-RO 3 
ARKH4,NI-TA,1,1,1,1,ARKH4.html, SUPRA MUTILA A.1 ]-NI-TA [ A.2 ]TA• RE 5 A.2
ARKH4,ZA-SI-ZU,1,0,1,1,ARKH4.html,9 B.4 A-KI-RO 3 B.5 ZA-SI-ZU [ ] 3 INFRA MUTILA
ARKH6,TE-RI,1,1,1,1,ARKH6.html,NA-TU • .1 KU[ .2 ] TE-RI [ INFRA MUTILA
ARZf2,I-DA-MA-TE,1,0,1,1,ARZf2.html,LVER AX AR SCRIBE 2 I-DA-MA-TE[ ARKHANES I ONCE LI
GO2,SE-SI,1,0,1,1,GO2.html, V02. RE 1 [ ] V02. SE-SI[ V03. VEST. INF. MU
HT103,DA-KU-SE-NE,2,0,1,1,HT103.html,• FIC 40 .2 PA 3 .2 DA-KU-SE-NE[ ] 6 J .3 *188 13 .
HT105,KA-PA,1,0,1,1,HT105.html, NUMBER FRACTION .1 KA-PA[ .1 ] VEST. [ .2 ]V
HT11,A-RU-RA,1,0,1,1,HT11.html,MBER FRACTION A.1-2 A-RU-RA-[•] ]3 A.2 KA-RO-NA
HT11,DE-NU,1,1,0,1,HT11.html,3 A.5 TA 2 15 B.1 ] DE-NU B.1 RU-RA 2 B.2 * 8
HT111,QA-QA-RU,1,1,0,1,HT111.html,8 A.2 QA-SA-[ A.3 ] QA-QA-RU 8 A.3 DI 1 4 [ A.4 
HT111,QA-SA,1,0,1,1,HT111.html, [ A.2 ]QE-KA 8 A.2 QA-SA-[ A.3 ] QA-QA-RU 8 
HT111,QE-KA,1,1,0,1,HT111.html, A.1 ] VEST. [ A.2 ]QE-KA 8 A.2 QA-SA-[ A.3 ]
HT112,TU-PA,1,1,1,1,HT112.html,N A.1 OVIS F [ A.2 ]TU-PA-[ A.3 ] VEST. [ INF
HT113,RA-RI-DE,1,0,1,1,HT113.html, NUMBER FRACTION .1 RA-RI-DE[ .2-3 ]WI-SA • [ ] 
HT113,WI-SA,1,1,0,1,HT113.html, .1 RA-RI-DE[ .2-3 ]WI-SA • [ ] 2 [ ] .3 O 2 
HT115,*301-U-RA,1,1,1,1,HT115.html,A-MA-NU-WI 2 A.2 [[ *301-U-RA]] A.2-3 NA-QI F-NE-
HT115,A-I,1,0,1,1,HT115.html,.3 *306-TU-JA 1 B.4 A-I-[••] 1 B.4 *634 {* 
HT115,KU-TA,1,0,1,1,HT115.html,4 {* 306 +MI} 1 B.4 KU-TA[ B.5-8 VACANT
