side,rank,sign,boundary_count,internal_count,boundary_enrichment_log2
prefix,1,*306,10,0,4.336272
prefix,2,*86,7,0,3.850845
prefix,3,*188,6,0,3.644395
prefix,4,A,152,14,3.338639
prefix,5,*28B,4,0,3.113880
prefix,6,*309,4,0,3.113880
prefix,7,WI,11,1,2.882554
prefix,8,*309B,3,0,2.751310
prefix,9,*312,3,0,2.751310
prefix,10,*324,3,0,2.751310
prefix,11,*333,3,0,2.751310
prefix,12,*815,3,0,2.751310
prefix,13,*309C,2,0,2.265883
prefix,14,JE,5,1,1.818424
prefix,15,O,8,2,1.709490
prefix,16,QA,29,9,1.578670
prefix,17,PU,7,2,1.528917
prefix,18,*317,1,0,1.528917
prefix,19,*318,1,0,1.528917
prefix,20,*322,1,0,1.528917
prefix,21,*327,1,0,1.528917
prefix,22,*328,1,0,1.528917
prefix,23,*352,1,0,1.528917
prefix,24,*355,1,0,1.528917
prefix,25,*358,1,0,1.528917
prefix,26,*363,1,0,1.528917
prefix,27,*539,1,0,1.528917
prefix,28,*554,1,0,1.528917
prefix,29,*560,1,0,1.528917
prefix,30,*810,1,0,1.528917
prefix,31,*903,1,0,1.528917
prefix,32,*905,1,0,1.528917
prefix,33,U,38,13,1.455854
prefix,34,KU,89,33,1.361681
prefix,35,E,8,3,1.224063
prefix,36,*47,3,1,1.166347
prefix,37,*805,3,1,1.166347
prefix,38,JA,62,28,1.076849
prefix,39,QE,20,9,1.053579
prefix,40,*21F,9,5,0.732451
prefix,41,*305,2,1,0.680920
prefix,42,TA2,2,1,0.680920
prefix,43,PA,37,23,0.618185
prefix,44,I,76,48,0.601430
prefix,45,KA,46,31,0.505834
prefix,46,AU,3,2,0.429382
prefix,47,DA,60,45,0.355023
prefix,48,PO,4,3,0.306525
prefix,49,KI,47,37,0.284992
prefix,50,SI,44,37,0.190870
prefix,51,SA,58,55,0.019904
prefix,52,TU,19,18,0.019904
prefix,53,MU,3,3,-0.056045
prefix,54,*164,1,1,-0.056045
prefix,55,*22M,0,0,-0.056045
prefix,56,*304,0,0,-0.056045
prefix,57,*308,0,0,-0.056045
prefix,58,*321,0,0,-0.056045
prefix,59,*329,0,0,-0.056045
prefix,60,*331,0,0,-0.056045
prefix,61,*344,0,0,-0.056045
prefix,62,*345,0,0,-0.056045
prefix,63,*350,0,0,-0.056045
prefix,64,*351,0,0,-0.056045
prefix,65,*353,0,0,-0.056045
prefix,66,*354,0,0,-0.056045
prefix,67,*361,0,0,-0.056045
prefix,68,*362,0,0,-0.056045
prefix,69,*516,0,0,-0.056045
prefix,70,*82,0,0,-0.056045
prefix,71,*904,0,0,-0.056045
prefix,72,KO,6,6,-0.056045
prefix,73,*323,2,2,-0.056045
prefix,74,DU,23,24,-0.116166
prefix,75,TE,19,21,-0.196908
prefix,76,MA,34,41,-0.322560
prefix,77,DI,29,36,-0.363227
prefix,78,PI,18,23,-0.401181
prefix,79,ZU,9,12,-0.451974
prefix,80,RO,5,7,-0.503504
prefix,81,*118,2,3,-0.541472
prefix,82,KE,3,5,-0.708122
prefix,83,PU2,3,5,-0.708122
prefix,84,MI,22,35,-0.713939
prefix,85,PA3,11,18,-0.741937
prefix,86,SE,10,18,-0.873181
prefix,87,ME,4,8,-0.973583
prefix,88,NE,5,10,-0.988931
prefix,89,DE,7,14,-1.007136
prefix,90,TA,31,63,-1.067450
prefix,91,RU,16,33,-1.077740
prefix,92,TO,4,9,-1.134048
prefix,93,RA2,3,7,-1.155581
prefix,94,RE,16,35,-1.161398
prefix,95,SU,9,20,-1.165670
prefix,96,WA,10,23,-1.218317
prefix,97,*314,1,3,-1.278438
prefix,98,*34,2,6,-1.434557
prefix,99,TI,13,35,-1.450905
prefix,100,NU,9,26,-1.536038
prefix,101,*22F,0,1,-1.641008
prefix,102,*307,0,1,-1.641008
prefix,103,*342,0,1,-1.641008
prefix,104,*349,0,1,-1.641008
prefix,105,*49,0,1,-1.641008
prefix,106,*802,0,1,-1.641008
prefix,107,NWA,0,1,-1.641008
prefix,108,RA,13,44,-1.776891
prefix,109,*301,6,22,-1.847459
prefix,110,RI,12,45,-1.919984
prefix,111,JU,2,11,-2.257679
prefix,112,NI,6,30,-2.286343
prefix,113,ZA,2,12,-2.377973
prefix,114,NA,9,79,-3.121001
prefix,115,*325,0,4,-3.225970
prefix,116,*310,0,7,-3.962936
suffix,1,RO,78,7,3.331685
suffix,2,*321,4,0,3.113880
suffix,3,*306,3,0,2.751310
suffix,4,TA2,10,1,2.751310
suffix,5,JE,8,1,2.446455
suffix,6,WI,8,1,2.446455
suffix,7,RA2,39,7,2.340845
suffix,8,*118,17,3,2.265883
suffix,9,*188,2,0,2.265883
suffix,10,*308,2,0,2.265883
suffix,11,*331,2,0,2.265883
suffix,12,*86,2,0,2.265883
suffix,13,*305,5,1,1.818424
suffix,14,PU,8,2,1.709490
suffix,15,NE,35,10,1.701385
suffix,16,ME,26,8,1.584412
suffix,17,E,10,3,1.528917
suffix,18,*22M,1,0,1.528917
suffix,19,*28B,1,0,1.528917
suffix,20,*304,1,0,1.528917
suffix,21,*312,1,0,1.528917
suffix,22,*317,1,0,1.528917
suffix,23,*329,1,0,1.528917
suffix,24,*344,1,0,1.528917
suffix,25,*345,1,0,1.528917
suffix,26,*350,1,0,1.528917
suffix,27,*351,1,0,1.528917
suffix,28,*353,1,0,1.528917
suffix,29,*354,1,0,1.528917
suffix,30,*361,1,0,1.528917
suffix,31,*362,1,0,1.528917
suffix,32,*363,1,0,1.528917
suffix,33,*516,1,0,1.528917
suffix,34,*82,1,0,1.528917
suffix,35,*904,1,0,1.528917
suffix,36,TE,55,21,1.312106
suffix,37,*49,3,1,1.166347
suffix,38,JA,63,28,1.099750
suffix,39,MU,6,3,0.837040
suffix,40,ZA,21,12,0.726363
suffix,41,SE,31,18,0.711781
suffix,42,*47,2,1,0.680920
suffix,43,RE,58,35,0.664572
suffix,44,JU,17,11,0.549676
suffix,45,KE,7,5,0.391414
suffix,46,TI,47,35,0.364063
suffix,47,TU,24,18,0.349211
suffix,48,KA,35,31,0.116422
suffix,49,RA,48,44,0.068134
suffix,50,RU,36,33,0.067690
suffix,51,PA,24,23,0.004076
suffix,52,DU,25,24,0.001670
suffix,53,*309,0,0,-0.056045
suffix,54,*309B,0,0,-0.056045
suffix,55,*309C,0,0,-0.056045
suffix,56,*318,0,0,-0.056045
suffix,57,*322,0,0,-0.056045
suffix,58,*324,0,0,-0.056045
suffix,59,*327,0,0,-0.056045
suffix,60,*328,0,0,-0.056045
suffix,61,*333,0,0,-0.056045
suffix,62,*352,0,0,-0.056045
suffix,63,*355,0,0,-0.056045
suffix,64,*358,0,0,-0.056045
suffix,65,*539,0,0,-0.056045
suffix,66,*554,0,0,-0.056045
suffix,67,*560,0,0,-0.056045
suffix,68,*810,0,0,-0.056045
suffix,69,*815,0,0,-0.056045
suffix,70,*903,0,0,-0.056045
suffix,71,*905,0,0,-0.056045
suffix,72,QE,9,9,-0.056045
suffix,73,O,2,2,-0.056045
suffix,74,SI,36,37,-0.095039
suffix,75,U,12,13,-0.167076
suffix,76,MI,32,35,-0.183424
suffix,77,DE,12,14,-0.270170
suffix,78,NU,22,26,-0.292113
suffix,79,*21F,4,5,-0.345552
suffix,80,PU2,4,5,-0.345552
suffix,81,MA,32,41,-0.408717
suffix,82,SU,15,20,-0.459401
suffix,83,DI,27,36,-0.464510
suffix,84,NI,22,30,-0.494929
suffix,85,NA,54,79,-0.600744
suffix,86,KI,24,37,-0.670154
suffix,87,QA,5,9,-0.844541
suffix,88,TA,36,63,-0.854905
suffix,89,PI,13,23,-0.855746
suffix,90,PA3,10,18,-0.873181
suffix,91,ZU,6,12,-0.999462
suffix,92,A,7,14,-1.007136
suffix,93,DA,23,45,-1.009251
suffix,94,TO,4,9,-1.134048
suffix,95,*314,1,3,-1.278438
suffix,96,PO,1,3,-1.278438
suffix,97,RI,19,45,-1.278438
suffix,98,I,20,48,-1.298406
suffix,99,WA,9,23,-1.362706
suffix,100,KU,13,33,-1.367247
suffix,101,KO,2,6,-1.434557
suffix,102,*301,8,22,-1.460435
suffix,103,SA,19,55,-1.565059
suffix,104,*310,2,7,-1.641008
suffix,105,*325,1,4,-1.641008
suffix,106,*164,0,1,-1.641008
suffix,107,*22F,0,1,-1.641008
suffix,108,*307,0,1,-1.641008
suffix,109,*342,0,1,-1.641008
suffix,110,*349,0,1,-1.641008
suffix,111,*802,0,1,-1.641008
suffix,112,*805,0,1,-1.641008
suffix,113,NWA,0,1,-1.641008
suffix,114,*323,0,2,-2.377973
suffix,115,AU,0,2,-2.377973
suffix,116,*34,0,6,-3.756485
