side,sign,base,variant,status,base_total_attestations,base_secure_attestations,variant_total_attestations,variant_secure_attestations,secure_sites,secure_scribes
prefix,*118,MI-NA,*118-MI-NA,excluded_insecure_both,1,0,1,0,0,0
prefix,*312,TE-TE,*312-TE-TE,excluded_insecure_base,1,0,1,1,1,1
prefix,*86,SI-NI,*86-SI-NI,excluded_insecure_base,1,0,1,1,1,1
prefix,A,DA-RA,A-DA-RA,excluded_insecure_base,1,0,1,1,1,0
prefix,A,KA-RU,A-KA-RU,excluded_insecure_base,2,0,3,3,1,1
prefix,A,KI-RO,A-KI-RO,accepted_secure,16,8,1,1,2,4
prefix,A,MI-TA,A-MI-TA,excluded_insecure_base,1,0,1,1,1,1
prefix,A,PA-RA-NE,A-PA-RA-NE,accepted_secure,2,2,2,2,1,1
prefix,A,RA-NA-RE,A-RA-NA-RE,excluded_insecure_base,1,0,1,1,1,1
prefix,A,RI-JA,A-RI-JA,excluded_insecure_both,1,0,1,0,0,0
prefix,A,SA-RA2,A-SA-RA2,accepted_secure,20,20,1,1,1,9
prefix,A,SA-SA-RA-ME,A-SA-SA-RA-ME,excluded_insecure_variant,2,2,1,0,2,0
prefix,A,SI-KI-RA,A-SI-KI-RA,accepted_secure,1,1,1,1,2,2
prefix,A,TA-NA-TE,A-TA-NA-TE,accepted_secure,1,1,1,1,1,1
prefix,DA,NA-SI,DA-NA-SI,excluded_insecure_base,1,0,1,1,1,0
prefix,DA,TA-RA,DA-TA-RA,accepted_secure,1,1,1,1,1,1
prefix,DA,U-*49,DA-U-*49,accepted_secure,2,2,1,1,2,2
prefix,DI,KA-KI,DI-KA-KI,excluded_insecure_variant,2,2,1,0,1,0
prefix,DI,PA-JA,DI-PA-JA,excluded_insecure_variant,1,1,1,0,1,1
prefix,DU,NE-MI,DU-NE-MI,excluded_insecure_both,1,0,1,0,0,0
prefix,DU,RE-ZA,DU-RE-ZA,excluded_insecure_variant,3,2,1,0,1,2
prefix,E,NA-SI,E-NA-SI,excluded_insecure_base,1,0,1,1,1,1
prefix,I,DA-DA,I-DA-DA,excluded_insecure_base,1,0,1,1,1,0
prefix,I,DA-MA-TE,I-DA-MA-TE,accepted_secure,1,1,2,1,2,1
prefix,I,JA-PA,I-JA-PA,excluded_insecure_variant,1,1,1,0,1,1
prefix,I,KI-RA,I-KI-RA,excluded_insecure_variant,2,2,1,0,2,2
