id,form,leftInsecure,rightInsecure,maskHits,site,scribe,support,tokenIndex
HT2,KI-RE-TA-NA,true,false,HT2,HAGHIA TRIADA,,TABLET,11
HT3,DI-NA,true,true,HT3,HAGHIA TRIADA,,TABLET,4
HT3,MA-DI,true,false,HT3,HAGHIA TRIADA,,TABLET,29
HT4,*306-TI-KA-A-RE,false,true,HT4,HAGHIA TRIADA,,TABLET,2
HT4,PA-RE,false,true,HT4,HAGHIA TRIADA,,TABLET,7
HT4,TA-PI-SI-DI,true,false,HT4,HAGHIA TRIADA,,TABLET,9
HT5,MA-SI,true,false,HT5,HAGHIA TRIADA,HT SCRIBE 1,TABLET,4
HT9B,WA-JA-PI,false,true,HT9,HAGHIA TRIADA,,TABLET,3
HT11A,A-RU-RA,false,true,HT11,HAGHIA TRIADA,HT SCRIBE 24,TABLET,0
HT11B,DE-NU,true,false,HT11,HAGHIA TRIADA,HT SCRIBE 24,TABLET,0
HT25A,DI-NA-U,false,true,HT25,HAGHIA TRIADA,,TABLET,4
HT25A,RU-NI,true,false,HT25,HAGHIA TRIADA,,TABLET,6
HT25A,DI-NA-U,false,true,HT25,HAGHIA TRIADA,,TABLET,12
HT25A,TU-QE-NU,false,true,HT25,HAGHIA TRIADA,,TABLET,18
HT25A,DU-RU-WI,false,true,HT25,HAGHIA TRIADA,,TABLET,23
HT25A,I-KI-RA,true,false,HT25,HAGHIA TRIADA,,TABLET,25
HT27A,I-MI-SA-RA,true,false,HT27,HAGHIA TRIADA,HT SCRIBE 11,TABLET,16
HT27A,KI-DA,false,true,HT27,HAGHIA TRIADA,HT SCRIBE 11,TABLET,22
HT27A,KI-*310,true,false,HT27,HAGHIA TRIADA,HT SCRIBE 11,TABLET,24
HT27A,SA-RA-DI,true,false,HT27,HAGHIA TRIADA,HT SCRIBE 11,TABLET,28
HT27B,MI-DA,true,false,HT27,HAGHIA TRIADA,HT SCRIBE 11,TABLET,0
HT29,DI-JA-I,true,false,HT29,HAGHIA TRIADA,,TABLET,9
HT37,RE-SU,true,true,HT37,HAGHIA TRIADA,,TABLET,8
HT39,KU-RE-JU,true,false,HT39,HAGHIA TRIADA,HT SCRIBE 12,TABLET,3
HT39,SA-MA-TI,true,false,HT39,HAGHIA TRIADA,HT SCRIBE 12,TABLET,8
HT39,KU-RE,false,true,HT39,HAGHIA TRIADA,HT SCRIBE 12,TABLET,11
HT39,KU-RO,true,false,HT39,HAGHIA TRIADA,HT SCRIBE 12,TABLET,13
HT40,KU-RO,false,true,HT40,HAGHIA TRIADA,HT SCRIBE 2,TABLET,12
HT41A,QE-TU,true,false,HT41,HAGHIA TRIADA,HT SCRIBE 14,TABLET,4
HT46A,MU-RU,true,false,HT46,HAGHIA TRIADA,,TABLET,2
HT46A,KU-RO,true,false,HT46,HAGHIA TRIADA,,TABLET,5
HT47A,KI-DA-RO,false,true,HT47,HAGHIA TRIADA,HT SCRIBE 14,TABLET,15
HT47B,RA-NA-RE,true,true,HT47,HAGHIA TRIADA,HT SCRIBE 14,TABLET,0
HT49A,TA-NA-TI,true,false,HT49,HAGHIA TRIADA,,TABLET,5
HT49A,SI-RA,true,false,HT49,HAGHIA TRIADA,,TABLET,24
HT49B,I-KI,true,true,HT49,HAGHIA TRIADA,,TABLET,4
HT51A,TI-NI,false,true,HT51,HAGHIA TRIADA,,TABLET,12
HT51B,KU-ME-TA,true,false,HT51,HAGHIA TRIADA,,TABLET,0
HT51B,ZU-DU,true,false,HT51,HAGHIA TRIADA,,TABLET,3
HT52A,DI-KA-KI,false,true,HT52,HAGHIA TRIADA,HT SCRIBE 23,TABLET,7
HT53A,SA-NE,true,true,HT53,HAGHIA TRIADA,,TABLET,2
HT53B,KU-RE,true,true,HT53,HAGHIA TRIADA,,TABLET,8
HT54A,KU-MI-NA-QE,true,true,HT54,HAGHIA TRIADA,,TABLET,4
HT55A,KI-RO,true,false,HT55,HAGHIA TRIADA,,TABLET,0
HT55B,RI-JA,true,false,HT55,HAGHIA TRIADA,,TABLET,5
HT57A,DA-QE-RA,false,true,HT57,HAGHIA TRIADA,HT SCRIBE 14,TABLET,0
HT58,U-KI,true,true,HT58,HAGHIA TRIADA,HT SCRIBE 8,TABLET,15
HT61,MI-TI,true,false,HT61,HAGHIA TRIADA,,TABLET,2
HT64,KU-ZU-NA,true,true,HT64,HAGHIA TRIADA,HT SCRIBE 21,TABLET,2
HT64,RU-MA,false,true,HT64,HAGHIA TRIADA,HT SCRIBE 21,TABLET,7
HT66,TA-MI,true,true,HT66,HAGHIA TRIADA,HT SCRIBE 21,TABLET,10
HT67,KU-RO,true,false,HT67,HAGHIA TRIADA,HT SCRIBE 23,TABLET,4
HT69,MA-DI,true,false,HT69,HAGHIA TRIADA,,TABLET,7
HT74,KU-RO,true,false,HT74,HAGHIA TRIADA,HT SCRIBE 24,TABLET,4
HT75,KA-RU,false,true,HT75,HAGHIA TRIADA,,TABLET,0
HT80,JU-RA,true,true,HT80,HAGHIA TRIADA,HT SCRIBE 13,TABLET,2
HT81,RI-SU-MA,true,false,HT81,HAGHIA TRIADA,,TABLET,6
HT84,NU-TI,true,false,HT84,HAGHIA TRIADA,,TABLET,2
HT85A,U-*325-ZA,false,true,HT85,HAGHIA TRIADA,HT SCRIBE 9,TABLET,13
HT85A,DA-RE,false,true,HT85,HAGHIA TRIADA,HT SCRIBE 9,TABLET,25
HT85A,KU-RO,false,true,HT85,HAGHIA TRIADA,HT SCRIBE 9,TABLET,28
HT85B,TE-TU,false,true,HT85,HAGHIA TRIADA,HT SCRIBE 9,TABLET,12
HT87,A-RA,false,true,HT87,HAGHIA TRIADA,HT SCRIBE 9,TABLET,20
HT93A,O-TI,false,true,HT93,HAGHIA TRIADA,HT SCRIBE 5,TABLET,38
HT93A,PA-SE-JA,true,false,HT93,HAGHIA TRIADA,HT SCRIBE 5,TABLET,51
HT93B,KI-RO,false,true,HT93,HAGHIA TRIADA,HT SCRIBE 5,TABLET,3
HT96A,KU-MA-RO,true,false,HT96,HAGHIA TRIADA,HT SCRIBE 8,TABLET,26
HT97A,KA-RU,false,true,HT97,HAGHIA TRIADA,HT SCRIBE 7,TABLET,0
HT103,DA-KU-SE-NE,false,true,HT103,HAGHIA TRIADA,HT SCRIBE 3,TABLET,7
HT103,DA-KU-SE-NE,false,true,HT103,HAGHIA TRIADA,HT SCRIBE 3,TABLET,17
HT105,KA-PA,false,true,HT105,HAGHIA TRIADA,,TABLET,0
HT111A,QE-KA,true,false,HT111,HAGHIA TRIADA,,TABLET,4
HT111A,QA-SA,false,true,HT111,HAGHIA TRIADA,,TABLET,7
HT112A,TU-PA,true,true,HT112,HAGHIA TRIADA,HT SCRIBE 9,TABLET,2
HT113,RA-RI-DE,false,true,HT113,HAGHIA TRIADA,,TABLET,0
HT113,WI-SA,true,false,HT113,HAGHIA TRIADA,,TABLET,2
HT115A,RI-SU-MA,false,true,HT115,HAGHIA TRIADA,HT SCRIBE 8,TABLET,26
HT115B,A-I,false,true,HT115,HAGHIA TRIADA,HT SCRIBE 8,TABLET,23
HT115B,KU-TA,false,true,HT115,HAGHIA TRIADA,HT SCRIBE 8,TABLET,29
HT122A,RA-RI,true,false,HT122,HAGHIA TRIADA,HT SCRIBE 9,TABLET,0
HT122B,A-RA-JU-U-DE-ZA,true,false,HT122,HAGHIA TRIADA,HT SCRIBE 9,TABLET,9
HT123+124A,KI-RO,true,false,HT123+124,HAGHIA TRIADA,HT SCRIBE 6,TABLET,9
HT123+124A,KI-RO,true,false,HT123+124,HAGHIA TRIADA,HT SCRIBE 6,TABLET,22
HT123+124A,KI-RO,true,false,HT123+124,HAGHIA TRIADA,HT SCRIBE 6,TABLET,33
HT123+124A,KI-RO,true,false,HT123+124,HAGHIA TRIADA,HT SCRIBE 6,TABLET,44
HT123+124A,KU-RO,false,true,HT123+124,HAGHIA TRIADA,HT SCRIBE 6,TABLET,47
HT123+124A,KU-RO,false,true,HT123+124,HAGHIA TRIADA,HT SCRIBE 6,TABLET,55
HT123+124A,KI-RO,true,false,HT123+124,HAGHIA TRIADA,HT SCRIBE 6,TABLET,59
HT123+124B,KA-NA,false,true,HT123+124,HAGHIA TRIADA,HT SCRIBE 6,TABLET,23
HT123+124B,SI-DU,true,false,HT123+124,HAGHIA TRIADA,HT SCRIBE 6,TABLET,25
HT123+124B,KU-RO,false,true,HT123+124,HAGHIA TRIADA,HT SCRIBE 6,TABLET,31
