side,rank,sign,secure_exact_pairs,excluded_damage_pairs,total_apparent_pairs,secure_examples
prefix,1,A,11,0,11,RA-NA-RE ~ A-RA-NA-RE | KA-RU ~ A-KA-RU | SA-RA2 ~ A-SA-RA2 | PA-RA-NE ~ A-PA-RA-NE | SA-SA-RA-ME ~ A-SA-SA-RA-ME | SI-KI-RA ~ A-SI-KI-RA | DA-RA ~ A-DA-RA | RI-JA ~ A-RI-JA
prefix,2,I,9,0,9,RU-JA ~ I-RU-JA | KI-RA ~ I-KI-RA | TA-JA ~ I-TA-JA | KU-TA ~ I-KU-TA | QA-*118 ~ I-QA-*118 | JA-PA ~ I-JA-PA | KU-PI ~ I-KU-PI | DA-MA-TE ~ I-DA-MA-TE
prefix,3,SI,6,0,6,KI-RA ~ SI-KI-RA | DA-RE ~ SI-DA-RE | MI-TA ~ SI-MI-TA | I-SI ~ SI-I-SI | *805-MI ~ SI-*805-MI | TE-TU ~ SI-TE-TU
prefix,4,KA,5,0,5,SA-RU ~ KA-SA-RU | KU-PA ~ KA-KU-PA | NU-TI ~ KA-NU-TI | RE-RO ~ KA-RE-RO | I-KA ~ KA-I-KA
prefix,5,KI,4,0,4,MA-RU ~ KI-MA-RU | RE-TA2 ~ KI-RE-TA2 | SA-NE ~ KI-SA-NE | RE-ZA ~ KI-RE-ZA
prefix,6,DA,3,0,3,TA-RA ~ DA-TA-RA | U-*49 ~ DA-U-*49 | NA-SI ~ DA-NA-SI
prefix,7,KU,3,0,3,MA-JU ~ KU-MA-JU | RU-MA ~ KU-RU-MA | PA-JA ~ KU-PA-JA
prefix,8,MI,3,0,3,NU-TE ~ MI-NU-TE | DA-RA ~ MI-DA-RA | KI-SA-NE ~ MI-KI-SA-NE
prefix,9,PA,3,0,3,JA-RE ~ PA-JA-RE | I-KI ~ PA-I-KI | TA-NE ~ PA-TA-NE
prefix,10,PI,3,0,3,TA-JA ~ PI-TA-JA | TA-RA ~ PI-TA-RA | TE-RI ~ PI-TE-RI
prefix,11,DI,2,0,2,KA-KI ~ DI-KA-KI | PA-JA ~ DI-PA-JA
prefix,12,DU,2,0,2,NE-MI ~ DU-NE-MI | RE-ZA ~ DU-RE-ZA
prefix,13,KE,2,0,2,KI-RU ~ KE-KI-RU | SI-TE ~ KE-SI-TE
