side,observed_universe_rank,sign,frozen_rank_116,score,boundary_count,internal_count,boundary_enrichment_log2,exact_extension_pairs
prefix,1,A,1,7.841664,152,14,3.338595,11
prefix,2,I,4,4.659528,76,48,0.601385,9
prefix,3,WI,5,4.528750,11,1,2.882510,1
prefix,4,KU,6,4.484600,89,33,1.361637,3
prefix,5,QA,9,3.994070,29,9,1.578626,2
prefix,6,KA,10,3.833158,46,31,0.505789,5
prefix,7,SI,13,3.669305,44,37,0.190825,6
prefix,8,U,14,3.527160,38,13,1.455809,1
prefix,9,PA,15,3.430122,37,23,0.618140,3
prefix,10,KI,16,3.422634,47,37,0.284947,4
prefix,11,QE,17,3.340336,20,9,1.053535,2
prefix,12,DA,18,3.337663,60,45,0.354979,3
prefix,13,JA,19,3.321125,62,28,1.076805,1
prefix,14,O,20,3.251926,8,2,1.709445,1
prefix,15,E,25,2.766500,8,3,1.224018,1
prefix,16,SA,26,2.679242,58,55,0.019859,2
prefix,17,JE,28,2.464620,5,1,1.818380,0
prefix,18,TU,29,2.289063,19,18,0.019859,2
prefix,19,PU,30,2.278873,7,2,1.528873,0
prefix,20,DU,31,2.218752,23,24,-0.116211,2
prefix,21,PI,32,2.160757,18,23,-0.401225,3
prefix,22,DI,33,2.052173,29,36,-0.363271,2
prefix,23,MI,34,1.916907,22,35,-0.713984,3
prefix,24,MA,50,1.709716,34,41,-0.322605,1
prefix,25,TE,53,1.633530,19,21,-0.196952,1
prefix,26,KE,57,0.980556,3,5,-0.708166,2
prefix,27,TA,58,0.932506,31,63,-1.067494,1
prefix,28,RO,60,0.892692,5,7,-0.503549,1
prefix,29,PO,61,0.886962,4,3,0.306480,0
prefix,30,WA,62,0.835219,10,23,-1.218361,2
prefix,31,TI,63,0.689611,13,35,-1.450949,2
prefix,32,KO,64,0.645749,6,6,-0.056090,0
prefix,33,RE,65,0.610423,16,35,-1.161443,1
prefix,34,MU,68,0.443910,3,3,-0.056090,0
prefix,35,NE,69,0.407265,5,10,-0.988975,1
prefix,36,ZU,70,0.378464,9,12,-0.452018,0
prefix,37,NU,74,0.044399,9,26,-1.536083,1
prefix,38,SE,75,-0.008368,10,18,-0.873226,0
prefix,39,RU,76,-0.055919,16,33,-1.077785,0
prefix,40,RA,94,-0.075097,13,44,-1.776936,1
prefix,41,RI,95,-0.244918,12,45,-1.920028,1
prefix,42,DE,96,-0.257180,7,14,-1.007180,0
prefix,43,SU,97,-0.335232,9,20,-1.165714,0
prefix,44,ME,98,-0.393145,4,8,-0.973627,0
prefix,45,TO,100,-0.996662,3,9,-1.496662,0
prefix,46,NA,103,-1.101841,9,79,-3.121045,2
prefix,47,NI,105,-1.584549,6,30,-2.286387,0
prefix,48,JU,113,-1.861483,2,11,-2.257723,0
prefix,49,ZA,114,-1.981777,2,12,-2.378018,0
suffix,1,RO,1,6.649032,78,7,3.331641,4
suffix,2,JA,2,4.977149,63,28,1.099705,8
suffix,3,ME,3,4.878606,26,8,1.584368,6
suffix,4,TE,4,4.869416,55,21,1.312061,6
suffix,5,NE,5,4.735267,35,10,1.701340,4
suffix,6,WI,6,4.427614,8,1,2.446411,2
suffix,7,RE,7,4.240705,58,35,0.664528,6
suffix,8,JE,9,3.988892,8,1,2.446411,1
suffix,9,SE,10,3.900459,31,18,0.711737,5
suffix,10,TI,11,3.698981,47,35,0.364019,5
suffix,11,RA,15,3.577283,48,44,0.068090,6
suffix,12,E,18,3.143731,10,3,1.528873,1
suffix,13,NA,19,2.950068,54,79,-0.600788,6
suffix,14,JU,20,2.780835,17,11,0.549631,2
suffix,15,MU,21,2.727556,6,3,0.836995,2
suffix,16,TU,22,2.698853,24,18,0.349167,2
suffix,17,PA,23,2.664995,24,23,0.004031,3
suffix,18,ZA,27,2.591177,21,12,0.726319,1
suffix,19,MI,28,2.577630,32,35,-0.183469,3
suffix,20,RU,29,2.558731,36,33,0.067646,2
suffix,21,PU,31,2.501926,8,2,1.709445,0
suffix,22,TA,33,2.386135,36,63,-0.854950,5
suffix,23,NU,34,2.027455,22,26,-0.292157,2
suffix,24,QE,35,1.963114,9,9,-0.056090,2
suffix,25,SI,36,1.957280,36,37,-0.095084,1
suffix,26,DU,37,1.926736,25,24,0.001626,1
suffix,27,DI,38,1.859450,26,36,-0.517994,2
suffix,28,DE,39,1.843617,12,14,-0.270214,2
suffix,29,SU,57,1.729277,15,20,-0.459445,2
suffix,30,MA,59,1.602337,32,41,-0.408761,1
suffix,31,U,61,1.507989,12,13,-0.167121,1
suffix,32,KA,62,1.408859,35,31,0.116378,0
suffix,33,NI,63,1.385917,22,30,-0.494974,1
suffix,34,DA,64,1.325667,23,45,-1.009295,2
suffix,35,KI,65,1.240766,24,37,-0.670198,1
suffix,36,KE,66,1.141369,7,5,0.391369,0
suffix,37,SA,68,1.015379,19,55,-1.565103,3
suffix,38,RI,69,0.990722,19,45,-1.278482,2
suffix,39,I,70,0.988351,20,48,-1.298450,2
suffix,40,A,72,0.931542,7,14,-1.007180,2
suffix,41,PI,73,0.846048,13,23,-0.855791,1
suffix,42,QA,74,0.551655,5,9,-0.844586,1
suffix,43,ZU,75,0.452333,6,12,-0.999506,1
suffix,44,O,76,0.340151,2,2,-0.056090,0
suffix,45,KU,77,0.334547,13,33,-1.367291,1
suffix,46,WA,79,0.217731,9,23,-1.362751,1
suffix,47,TO,99,-0.553610,4,9,-1.134092,0
suffix,48,PO,102,-1.028482,1,3,-1.278482,0
suffix,49,KO,103,-1.038361,2,6,-1.434601,0
