side,rank,sign,score,boundary_count,internal_count,boundary_enrichment_log2,exact_extension_pairs,pair_sites,pair_scribes,pair_attestations,examples
prefix,1,A,7.841664,152,14,3.338595,11,8,15,62,RA-NA-RE ~ A-RA-NA-RE | KA-RU ~ A-KA-RU | SA-RA₂ ~ A-SA-RA₂ | PA-RA-NE ~ A-PA-RA-NE | SA-SA-RA-ME ~ A-SA-SA-RA-ME | SI-KI-RA ~ A-SI-KI-RA | DA-RA ~ A-DA-RA | RI-JA ~ A-RI-JA
prefix,2,*86,5.350801,7,0,3.850801,1,2,1,2,SI-NI ~ *86-SI-NI
prefix,3,*306,5.201086,10,0,4.336228,0,0,0,0,
prefix,4,I,4.659528,76,48,0.601385,9,8,10,21,RU-JA ~ I-RU-JA | KI-RA ~ I-KI-RA | TA-JA ~ I-TA-JA | KU-TA ~ I-KU-TA | QA-*118 ~ I-QA-*118 | JA-PA ~ I-JA-PA | KU-PI ~ I-KU-PI | DA-MA-TE ~ I-DA-MA-TE
prefix,5,WI,4.528750,11,1,2.882510,1,2,1,3,DI-NA ~ WI-DI-NA
prefix,6,KU,4.484600,89,33,1.361637,3,2,4,6,MA-JU ~ KU-MA-JU | RU-MA ~ KU-RU-MA | PA-JA ~ KU-PA-JA
prefix,7,*188,4.346189,6,0,3.644350,0,0,0,0,
prefix,8,*312,4.001265,3,0,2.751265,1,2,2,2,TE-TE ~ *312-TE-TE
prefix,9,QA,3.994070,29,9,1.578626,2,1,4,7,QA-RU ~ QA-QA-RU | KU-RE ~ QA-KU-RE
prefix,10,KA,3.833158,46,31,0.505789,5,4,9,22,SA-RU ~ KA-SA-RU | KU-PA ~ KA-KU-PA | NU-TI ~ KA-NU-TI | RE-RO ~ KA-RE-RO | I-KA ~ KA-I-KA
prefix,11,*28B,3.694317,4,0,3.113835,0,0,0,0,
prefix,12,*309,3.694317,4,0,3.113835,0,0,0,0,
prefix,13,SI,3.669305,44,37,0.190825,6,5,11,24,KI-RA ~ SI-KI-RA | DA-RE ~ SI-DA-RE | MI-TA ~ SI-MI-TA | I-SI ~ SI-I-SI | *805-MI ~ SI-*805-MI | TE-TU ~ SI-TE-TU
prefix,14,U,3.527160,38,13,1.455809,1,2,1,2,QE-TI ~ U-QE-TI
prefix,15,PA,3.430122,37,23,0.618140,3,3,5,11,JA-RE ~ PA-JA-RE | I-KI ~ PA-I-KI | TA-NE ~ PA-TA-NE
prefix,16,KI,3.422634,47,37,0.284947,4,3,5,11,MA-RU ~ KI-MA-RU | RE-TA₂ ~ KI-RE-TA₂ | SA-NE ~ KI-SA-NE | RE-ZA ~ KI-RE-ZA
prefix,17,QE,3.340336,20,9,1.053535,2,4,2,6,KU-RE ~ QE-KU-RE | SI-TE ~ QE-SI-TE
prefix,18,DA,3.337663,60,45,0.354979,3,3,3,7,TA-RA ~ DA-TA-RA | U-*49 ~ DA-U-*49 | NA-SI ~ DA-NA-SI
prefix,19,JA,3.321125,62,28,1.076805,1,6,1,9,SA-SA-RA-ME ~ JA-SA-SA-RA-ME
prefix,20,O,3.251926,8,2,1.709445,1,2,0,2,TE-JA ~ O-TE-JA
prefix,21,*309B,3.251265,3,0,2.751265,0,0,0,0,
prefix,22,*324,3.251265,3,0,2.751265,0,0,0,0,
prefix,23,*333,3.251265,3,0,2.751265,0,0,0,0,
prefix,24,*815,3.251265,3,0,2.751265,0,0,0,0,
prefix,25,E,2.766500,8,3,1.224018,1,2,1,2,NA-SI ~ E-NA-SI
prefix,26,SA,2.679242,58,55,0.019859,2,3,0,5,RA-ME ~ SA-RA-ME | SA-RA-ME ~ SA-SA-RA-ME
prefix,27,*309C,2.662079,2,0,2.265838,0,0,0,0,
prefix,28,JE,2.464620,5,1,1.818380,0,0,0,0,
prefix,29,TU,2.289063,19,18,0.019859,2,2,2,4,SU-PU₂ ~ TU-SU-PU₂ | RU-SA ~ TU-RU-SA
prefix,30,PU,2.278873,7,2,1.528873,0,0,0,0,
prefix,31,DU,2.218752,23,24,-0.116211,2,3,4,6,NE-MI ~ DU-NE-MI | RE-ZA ~ DU-RE-ZA
prefix,32,PI,2.160757,18,23,-0.401225,3,4,3,8,TA-JA ~ PI-TA-JA | TA-RA ~ PI-TA-RA | TE-RI ~ PI-TE-RI
prefix,33,DI,2.052173,29,36,-0.363271,2,2,2,5,KA-KI ~ DI-KA-KI | PA-JA ~ DI-PA-JA
prefix,34,MI,1.916907,22,35,-0.713984,3,5,4,9,NU-TE ~ MI-NU-TE | DA-RA ~ MI-DA-RA | KI-SA-NE ~ MI-KI-SA-NE
prefix,35,*317,1.778873,1,0,1.528873,0,0,0,0,
prefix,36,*318,1.778873,1,0,1.528873,0,0,0,0,
prefix,37,*322,1.778873,1,0,1.528873,0,0,0,0,
prefix,38,*327,1.778873,1,0,1.528873,0,0,0,0,
prefix,39,*328,1.778873,1,0,1.528873,0,0,0,0,
prefix,40,*352,1.778873,1,0,1.528873,0,0,0,0,
prefix,41,*355,1.778873,1,0,1.528873,0,0,0,0,
prefix,42,*358,1.778873,1,0,1.528873,0,0,0,0,
prefix,43,*363,1.778873,1,0,1.528873,0,0,0,0,
prefix,44,*539,1.778873,1,0,1.528873,0,0,0,0,
prefix,45,*554,1.778873,1,0,1.528873,0,0,0,0,
prefix,46,*560,1.778873,1,0,1.528873,0,0,0,0,
prefix,47,*810,1.778873,1,0,1.528873,0,0,0,0,
prefix,48,*903,1.778873,1,0,1.528873,0,0,0,0,
prefix,49,*905,1.778873,1,0,1.528873,0,0,0,0,
prefix,50,MA,1.709716,34,41,-0.322605,1,1,1,2,SI-DU ~ MA-SI-DU
prefix,51,*47,1.666303,3,1,1.166303,0,0,0,0,
prefix,52,*805,1.666303,3,1,1.166303,0,0,0,0,
prefix,53,TE,1.633530,19,21,-0.196952,1,2,2,2,JA-RE ~ TE-JA-RE
prefix,54,*21F,1.562888,9,5,0.732406,0,0,0,0,
prefix,55,*305,1.077117,2,1,0.680876,0,0,0,0,
prefix,56,TA₂,1.077117,2,1,0.680876,0,0,0,0,
prefix,57,KE,0.980556,3,5,-0.708166,2,5,1,5,KI-RU ~ KE-KI-RU | SI-TE ~ KE-SI-TE
prefix,58,TA,0.932506,31,63,-1.067494,1,1,2,5,NA-TI ~ TA-NA-TI
prefix,59,AU,0.929337,3,2,0.429337,0,0,0,0,
prefix,60,RO,0.892692,5,7,-0.503549,1,2,0,2,SI-RA ~ RO-SI-RA
prefix,61,PO,0.886962,4,3,0.306480,0,0,0,0,
prefix,62,WA,0.835219,10,23,-1.218361,2,3,2,4,JA-PI ~ WA-JA-PI | O-MI ~ WA-O-MI
prefix,63,TI,0.689611,13,35,-1.450949,2,3,1,4,NI-TA ~ TI-NI-TA | TI-MA ~ TI-TI-MA
prefix,64,KO,0.645749,6,6,-0.056090,0,0,0,0,
prefix,65,RE,0.610423,16,35,-1.161443,1,4,0,4,A-JA ~ RE-A-JA
prefix,66,*118,0.604724,2,3,-0.541516,1,2,0,2,MI-NA ~ *118-MI-NA
prefix,67,PU₂,0.541834,3,5,-0.708166,1,3,0,3,RE-JA ~ PU₂-RE-JA
prefix,68,MU,0.443910,3,3,-0.056090,0,0,0,0,
prefix,69,NE,0.407265,5,10,-0.988975,1,2,1,2,MI-NA ~ NE-MI-NA
prefix,70,ZU,0.378464,9,12,-0.452018,0,0,0,0,
prefix,71,*323,0.340151,2,2,-0.056090,0,0,0,0,
prefix,72,PA₃,0.234430,11,17,-0.661811,0,0,0,0,
prefix,73,*164,0.193910,1,1,-0.056090,0,0,0,0,
prefix,74,NU,0.044399,9,26,-1.536083,1,2,0,2,RI-JA ~ NU-RI-JA
prefix,75,SE,-0.008368,10,18,-0.873226,0,0,0,0,
prefix,76,RU,-0.055919,16,33,-1.077785,0,0,0,0,
prefix,77,*22M,-0.056090,0,0,-0.056090,0,0,0,0,
prefix,78,*304,-0.056090,0,0,-0.056090,0,0,0,0,
prefix,79,*308,-0.056090,0,0,-0.056090,0,0,0,0,
prefix,80,*321,-0.056090,0,0,-0.056090,0,0,0,0,
prefix,81,*329,-0.056090,0,0,-0.056090,0,0,0,0,
prefix,82,*331,-0.056090,0,0,-0.056090,0,0,0,0,
prefix,83,*344,-0.056090,0,0,-0.056090,0,0,0,0,
prefix,84,*345,-0.056090,0,0,-0.056090,0,0,0,0,
prefix,85,*350,-0.056090,0,0,-0.056090,0,0,0,0,
prefix,86,*351,-0.056090,0,0,-0.056090,0,0,0,0,
prefix,87,*353,-0.056090,0,0,-0.056090,0,0,0,0,
