stem,depth,terminal,form,occurrences,site_count,sites,scribe_count,scribes,supports,warning_classes,manual_tier,manual_adjudication,containment_count,containment_examples
*164-RI,1,DA,*164-RI-DA,1,1,THERA,0,,LOOM WEIGHT,,,,0,
*21F-JA,1,DU,*21F-JA-DU,1,1,HAGHIA TRIADA,0,,TABLET,,,,0,
*21F-RI-TU,1,QA,*21F-RI-TU-QA,1,1,HAGHIA TRIADA,0,,TABLET,,,,0,
*21F-TU,1,NE,*21F-TU-NE,3,1,HAGHIA TRIADA,2,HT SCRIBE 11|HT SCRIBE 9,TABLET,,A,positive,0,
*28B-NU-MA,1,RE,*28B-NU-MA-RE,3,1,ZAKROS,2,ZA SCRIBE 1|ZA SCRIBE 5,TABLET,,,,0,
*305-WA,1,NA,*305-WA-NA,1,1,ZAKROS,1,ZA SCRIBE 1,TABLET,,,,0,
*306-KI,1,TA2,*306-KI-TA2,1,1,HAGHIA TRIADA,1,HT SCRIBE 9,TABLET,,,,0,
*306-TA,1,JE,*306-TA-JE,2,2,ARKHALKHORI|FOURNI,0,,INKED INSCRIPTION,,,,0,
*306-TU,1,JA,*306-TU-JA,1,1,HAGHIA TRIADA,1,HT SCRIBE 8,TABLET,designation_or_onomastic,B,reclassified,0,
*309-DA,1,PU,*309-DA-PU,1,1,TYLISSOS,0,,TABLET,,,,0,
*309-JU,1,KI,*309-JU-KI,1,1,TYLISSOS,0,,TABLET,,,,0,
*309-RI,1,JU,*309-RI-JU,1,1,TYLISSOS,0,,TABLET,,,,0,
*309-RI-WA,1,JU,*309-RI-WA-JU,1,1,TYLISSOS,0,,TABLET,,,,0,
*309B-*34-PU,1,PI,*309B-*34-PU-PI,1,1,TYLISSOS,0,,TABLET,,,,0,
*309B-KI,1,PU,*309B-KI-PU,1,1,TYLISSOS,0,,TABLET,,,,0,
*309C-DA,1,JU,*309C-DA-JU,1,1,TYLISSOS,0,,TABLET,,,,0,
*312-TE,1,TE,*312-TE-TE,1,1,HAGHIA TRIADA,1,HT SCRIBE 3,TABLET,,,,0,
*314-TA,1,MA,*314-TA-MA,1,1,PHAISTOS,0,,ROUNDEL,,,,0,
*317-QE,1,*353,*317-QE-*353,1,1,PHAISTOS,0,,TABLET,,,,0,
*324-DI,1,RA,*324-DI-RA,3,1,HAGHIA TRIADA,1,HT SCRIBE 9,TABLET,,,,0,
*333-DI-NA-SU,1,KA,*333-DI-NA-SU-KA,1,1,HAGHIA TRIADA,1,HT WC SCRIBE 10,ROUNDEL,,,,0,
*333-DI-SU,1,KA,*333-DI-SU-KA,1,1,HAGHIA TRIADA,1,HT WC SCRIBE 10,ROUNDEL,,,,0,
*333-SA,1,MU,*333-SA-MU,1,1,MOKHILOS,0,,METAL OBJECT,,,,0,
*34-TI-RI-A-DI-DA-KI-TI-PA,1,KU,*34-TI-RI-A-DI-DA-KI-TI-PA-KU,1,1,KNOSSOS,0,,INKED INSCRIPTION,,,,0,
*355-E,1,*354,*355-E-*354,1,1,PHAISTOS,0,,TABLET,,,,0,
*363-KE-MA,1,SE,*363-KE-MA-SE,1,1,ZAKROS,1,ZA SCRIBE 5,TABLET,,,,0,
*47-KU,1,NA,*47-KU-NA,1,1,ZAKROS,1,ZA SCRIBE 5,TABLET,,,,0,
*47-NU-RA,1,JA,*47-NU-RA-JA,1,1,HAGHIA TRIADA,1,HT SCRIBE 8,TABLET,,,,0,
*810-PI,1,KA,*810-PI-KA,1,1,KHANIA,0,,ROUNDEL,,,,0,
*815-PA-TA,1,QE,*815-PA-TA-QE,1,1,HAGHIA TRIADA,1,HT SCRIBE 12,TABLET,,,,0,
*815-QA,1,PA3,*815-QA-PA3,1,1,HAGHIA TRIADA,1,HT SCRIBE 12,TABLET,,,,0,
*815-SU-PA3,1,RA,*815-SU-PA3-RA,1,1,HAGHIA TRIADA,1,HT SCRIBE 12,TABLET,,,,0,
*86-SI,1,NI,*86-SI-NI,1,1,HAGHIA TRIADA,1,HT SCRIBE 8,TABLET,,,,0,
*86-SI-*118,1,KA,*86-SI-*118-KA,1,1,HAGHIA TRIADA,1,HT SCRIBE 8,TABLET,,,,0,
*903-I-DU,1,WI,*903-I-DU-WI,1,1,MALIA,0,,3-SIDED BAR,,,,0,
A-*301-KI-TA,1,A,A-*301-KI-TA-A,1,1,TYLISSOS,0,,CLAY VESSEL,,,,0,
A-*325,1,ZA,A-*325-ZA,1,1,PETRAS,0,,TABLET,,,,0,
A-DA,1,RA,A-DA-RA,1,1,KNOSSOS,0,,METAL OBJECT,,C,comparison-only,0,
A-DA,1,RO,A-DA-RO,1,1,ARKHALKHORI,0,,TABLET,,B,candidate,0,
A-DA-*21F,1,RI,A-DA-*21F-RI,1,1,KHANIA,0,,TABLET,,,,0,
A-DA-KI-SI,1,KA,A-DA-KI-SI-KA,1,1,KHANIA,1,KH SCRIBE 2,TABLET,,,,0,
A-DU,1,ZA,A-DU-ZA,1,1,PALAIKASTRO,0,,TABLET,,,,0,
A-DU-KU-MI,1,NA,A-DU-KU-MI-NA,1,1,ZAKROS,1,ZA SCRIBE 4,TABLET,,,,0,
A-DU-NI-TA,1,NA,A-DU-NI-TA-NA,1,1,ARKHALKHORI,0,,TABLET,,,,0,
A-JE,1,SA,A-JE-SA,1,1,IOUKTAS,0,,STONE VESSEL,,C,comparison-only,0,
A-KA,1,RU,A-KA-RU,2,1,HAGHIA TRIADA,1,HT SCRIBE 6,TABLET,,,,0,
A-KA-NU-ZA,1,TI,A-KA-NU-ZA-TI,1,1,KNOSSOS,0,,INKED INSCRIPTION,,,,0,
A-KI,1,RO,A-KI-RO,1,1,ARKHALKHORI,0,,TABLET,,,,0,
A-KI-PI-E,1,TE,A-KI-PI-E-TE,1,1,KHANIA,1,KH SCRIBE 5,TABLET,,,,0,
A-KO-A,1,NE,A-KO-A-NE,1,1,PALAIKASTRO,0,,STONE VESSEL,,,,0,
A-KU-JU-PA,1,*118,A-KU-JU-PA-*118,1,1,PAPOUROU,0,,TABLET,,,,0,
A-KU-MI,1,NA,A-KU-MI-NA,1,1,ZAKROS,1,ZA SCRIBE 4,TABLET,,,,0,
A-MA,1,JA,A-MA-JA,1,1,KHANIA,1,KH SCRIBE 1,TABLET,,C,comparison-only,0,
A-MA-WA,1,SI,A-MA-WA-SI,1,1,CRETE,0,,METAL OBJECT,,,,0,
A-MI,1,TA,A-MI-TA,1,1,ZAKROS,1,ZA SCRIBE 4,TABLET,,,,0,
A-MI-DA,1,O,A-MI-DA-O,1,1,PHAISTOS,0,,TABLET,,,,0,
A-MI-DA,1,U,A-MI-DA-U,1,1,ZAKROS,1,ZA SCRIBE 4,TABLET,,,,0,
A-PA,1,KI,A-PA-KI,1,1,KNOSSOS,0,,CLAY VESSEL,,,,0,
A-PA-RA,1,NE,A-PA-RA-NE,2,1,HAGHIA TRIADA,1,HT SCRIBE 8,TABLET,,,,0,
A-PA3,1,DI,A-PA3-DI,1,1,PALAIKASTRO,0,,CLAY VESSEL,,,,0,
A-PU2-NA,1,DU,A-PU2-NA-DU,1,1,HAGHIA TRIADA,1,HT SCRIBE 14,TABLET,,,,0,
A-RA,1,JU,A-RA-JU,1,1,HAGHIA TRIADA,1,HT SCRIBE 7,TABLET,,,,0,
A-RA,1,TU,A-RA-TU,1,1,ZAKROS,0,,TABLET,,,,1,A-RA-TU-ME
A-RA-KO-KU-ZU-WA-SA-TO-MA-RO-AU-TA-DE-PO-NI,1,ZA,A-RA-KO-KU-ZU-WA-SA-TO-MA-RO-AU-TA-DE-PO-NI-ZA,1,1,KOPHINAS,0,,METAL OBJECT,,,,0,
A-RA-NA,1,RE,A-RA-NA-RE,1,1,HAGHIA TRIADA,1,HT SCRIBE 21,TABLET,,,,0,
A-RA-TU,1,ME,A-RA-TU-ME,1,1,HAGHIA TRIADA,0,,ROUNDEL,,B,candidate,0,
A-RA-U,1,DA,A-RA-U-DA,1,1,KHANIA,1,KH SCRIBE 2,TABLET,,,,0,
A-RE-DA,1,I,A-RE-DA-I,1,1,HAGHIA TRIADA,0,,TABLET,,,,0,
A-RE-NE-SI-DI-*301-PI-KE-PA-JA-TA-RI-SE-TE-RI-MU-A-JA,1,KU,A-RE-NE-SI-DI-*301-PI-KE-PA-JA-TA-RI-SE-TE-RI-MU-A-JA-KU,1,1,KNOSSOS,0,,METAL OBJECT,,,,0,
A-RE-PI-RE,1,NA,A-RE-PI-RE-NA,1,1,ZAKROS,0,,CLAY VESSEL,,,,0,
A-RE-SA,1,NA,A-RE-SA-NA,1,1,THERA,0,,CLAY VESSEL,,,,0,
