depth,stem,terminal_count,terminals,form_count,site_count,scribe_count,manual_ab_cells,containment_flagged_cells,forms
1,A-TA,3,*350|DE|RE,3,3,2,0,0,*350:A-TA-*350 | DE:A-TA-DE | RE:A-TA-RE[rejected]
1,I-DA,3,A|DA|MI,3,3,0,2,0,A:I-DA-A[B] | DA:I-DA-DA[C] | MI:I-DA-MI[A]
1,KU-PA,3,JA|RI|ZU,3,3,1,1,0,JA:KU-PA-JA[A] | RI:KU-PA-RI | ZU:KU-PA-ZU
1,SI-DA,3,RE|RO|TE,3,3,3,0,0,RE:SI-DA-RE | RO:SI-DA-RO | TE:SI-DA-TE
1,A-TA-I-*301-WA,2,E|JA,2,5,0,0,0,E:A-TA-I-*301-WA-E | JA:A-TA-I-*301-WA-JA
1,TI-TI,2,KU|MA,2,3,0,0,1,KU:TI-TI-KU[nested] | MA:TI-TI-MA
1,A-DA,2,RA|RO,2,2,0,1,0,RA:A-DA-RA[C] | RO:A-DA-RO[B]
1,A-MI-DA,2,O|U,2,2,1,0,0,O:A-MI-DA-O | U:A-MI-DA-U
1,A-RA,2,JU|TU,2,2,1,0,1,JU:A-RA-JU | TU:A-RA-TU[nested]
1,A-RI,2,PA|SU,2,2,1,0,0,PA:A-RI-PA[C] | SU:A-RI-SU[C]
1,A-TA-NA,2,JE|TE,2,2,1,0,0,JE:A-TA-NA-JE | TE:A-TA-NA-TE[rejected]
1,DA-NA,2,SI|TU,2,2,0,0,0,SI:DA-NA-SI | TU:DA-NA-TU
1,DI-NA,2,RO|U,2,2,2,0,0,RO:DI-NA-RO[rejected] | U:DI-NA-U
1,JA-SA,2,JA|MU,2,2,1,0,0,JA:JA-SA-JA[rejected] | MU:JA-SA-MU
1,JA-WA,2,PA3|PI,2,2,0,0,0,PA3:JA-WA-PA3 | PI:JA-WA-PI
1,KI-RE,2,TA2|ZA,2,2,2,0,0,TA2:KI-RE-TA2 | ZA:KI-RE-ZA
1,KI-RI,2,SI|TA2,2,2,1,0,0,SI:KI-RI-SI | TA2:KI-RI-TA2
1,KU-NI,2,SU|TE,2,2,1,0,0,SU:KU-NI-SU[rejected] | TE:KU-NI-TE[rejected]
1,KU-PA3,2,NU|PA3,2,2,3,0,0,NU:KU-PA3-NU | PA3:KU-PA3-PA3
