inscription,site,eligible_noncore_type_count
APZa2,Apodoulou,0
ARZf1,Arkhalkhori,1
ARZf2,Arkhalkhori,0
IOZa2,Iouktas,1
IOZa3,Iouktas,0
IOZa4,Iouktas,0
IOZa6,Iouktas,1
IOZa7,Iouktas,0
IOZa8,Iouktas,0
IOZa9,Iouktas,0
IOZb10,Iouktas,0
KNZa10,Knossos,0
KNZc7,Knossos,4
KNZe44,Knossos,0
KOZa1,Kophinas,3
MAZb8,Malia,0
PKZa4,Palaikastro,0
PKZa8,Palaikastro,3
PKZa11,Palaikastro,2
PKZa12,Palaikastro,0
PKZa15,Palaikastro,0
PKZa17,Palaikastro,0
PKZa18,Palaikastro,1
PLZf1,Platanos,4
PRZa1,Prassa,2
PSZa2,Psykhro,0
SYZa1,Syme,1
SYZa3,Syme,0
TLZa1,Troullos,1
VRYZa1,Vrysinas,0
ZAZb3,Zakros,5
