stem,ending,variant,occurrences,site_count,sites,scribe_count,scribes,supports,warning_classes,manual_tier,manual_adjudication,manual_reason
*164-RI,DA,*164-RI-DA,1,1,THERA,0,,LOOM WEIGHT,,,,
*21F-JA,DU,*21F-JA-DU,1,1,HAGHIA TRIADA,0,,TABLET,,,,
*21F-RI-TU,QA,*21F-RI-TU-QA,1,1,HAGHIA TRIADA,0,,TABLET,,,,
*21F-TU,NE,*21F-TU-NE,3,1,HAGHIA TRIADA,2,HT SCRIBE 11|HT SCRIBE 9,TABLET,,A,positive,Same scribe writes bare and extended forms; extended form replicated by second scribe
*28B-NU-MA,RE,*28B-NU-MA-RE,3,1,ZAKROS,2,ZA SCRIBE 1|ZA SCRIBE 5,TABLET,,,,
*305-WA,NA,*305-WA-NA,1,1,ZAKROS,1,ZA SCRIBE 1,TABLET,,,,
*306-KI,TA2,*306-KI-TA2,1,1,HAGHIA TRIADA,1,HT SCRIBE 9,TABLET,,,,
*306-TA,JE,*306-TA-JE,2,2,ARKHALKHORI|FOURNI,0,,INKED INSCRIPTION,,,,
*306-TU,JA,*306-TU-JA,1,1,HAGHIA TRIADA,1,HT SCRIBE 8,TABLET,designation_or_onomastic,B,reclassified,Repeated complete exact base and complete JA form; context suggests derivational/onomastic rather than generic inflectional morphology
*309-DA,PU,*309-DA-PU,1,1,TYLISSOS,0,,TABLET,,,,
*309-JU,KI,*309-JU-KI,1,1,TYLISSOS,0,,TABLET,,,,
*309-RI,JU,*309-RI-JU,1,1,TYLISSOS,0,,TABLET,,,,
*309-RI-WA,JU,*309-RI-WA-JU,1,1,TYLISSOS,0,,TABLET,,,,
*309B-*34-PU,PI,*309B-*34-PU-PI,1,1,TYLISSOS,0,,TABLET,,,,
*309B-KI,PU,*309B-KI-PU,1,1,TYLISSOS,0,,TABLET,,,,
*309C-DA,JU,*309C-DA-JU,1,1,TYLISSOS,0,,TABLET,,,,
*312-TE,TE,*312-TE-TE,1,1,HAGHIA TRIADA,1,HT SCRIBE 3,TABLET,,,,
*314-TA,MA,*314-TA-MA,1,1,PHAISTOS,0,,ROUNDEL,,,,
*317-QE,*353,*317-QE-*353,1,1,PHAISTOS,0,,TABLET,,,,
*324-DI,RA,*324-DI-RA,3,1,HAGHIA TRIADA,1,HT SCRIBE 9,TABLET,,,,
*333-DI-NA-SU,KA,*333-DI-NA-SU-KA,1,1,HAGHIA TRIADA,1,HT WC SCRIBE 10,ROUNDEL,,,,
*333-DI-SU,KA,*333-DI-SU-KA,1,1,HAGHIA TRIADA,1,HT WC SCRIBE 10,ROUNDEL,,,,
*333-SA,MU,*333-SA-MU,1,1,MOKHILOS,0,,METAL OBJECT,,,,
*34-TI-RI-A-DI-DA-KI-TI-PA,KU,*34-TI-RI-A-DI-DA-KI-TI-PA-KU,1,1,KNOSSOS,0,,INKED INSCRIPTION,,,,
*355-E,*354,*355-E-*354,1,1,PHAISTOS,0,,TABLET,,,,
*363-KE-MA,SE,*363-KE-MA-SE,1,1,ZAKROS,1,ZA SCRIBE 5,TABLET,,,,
*47-KU,NA,*47-KU-NA,1,1,ZAKROS,1,ZA SCRIBE 5,TABLET,,,,
*47-NU-RA,JA,*47-NU-RA-JA,1,1,HAGHIA TRIADA,1,HT SCRIBE 8,TABLET,,,,
*810-PI,KA,*810-PI-KA,1,1,KHANIA,0,,ROUNDEL,,,,
*815-PA-TA,QE,*815-PA-TA-QE,1,1,HAGHIA TRIADA,1,HT SCRIBE 12,TABLET,,,,
*815-QA,PA3,*815-QA-PA3,1,1,HAGHIA TRIADA,1,HT SCRIBE 12,TABLET,,,,
*815-SU-PA3,RA,*815-SU-PA3-RA,1,1,HAGHIA TRIADA,1,HT SCRIBE 12,TABLET,,,,
*86-SI,NI,*86-SI-NI,1,1,HAGHIA TRIADA,1,HT SCRIBE 8,TABLET,,,,
*86-SI-*118,KA,*86-SI-*118-KA,1,1,HAGHIA TRIADA,1,HT SCRIBE 8,TABLET,,,,
*903-I-DU,WI,*903-I-DU-WI,1,1,MALIA,0,,3-SIDED BAR,,,,
A-*301-KI-TA,A,A-*301-KI-TA-A,1,1,TYLISSOS,0,,CLAY VESSEL,,,,
A-*325,ZA,A-*325-ZA,1,1,PETRAS,0,,TABLET,,,,
A-DA,RA,A-DA-RA,1,1,KNOSSOS,0,,METAL OBJECT,,C,comparison-only,Complete exact extension but cross-site support and discourse mismatch leave common lexical identity unproved
A-DA,RO,A-DA-RO,1,1,ARKHALKHORI,0,,TABLET,,B,candidate,Secure cross-site exact final extension; common lexical identity and grammatical function remain unproven
A-DA-*21F,RI,A-DA-*21F-RI,1,1,KHANIA,0,,TABLET,,,,
A-DA-KI-SI,KA,A-DA-KI-SI-KA,1,1,KHANIA,1,KH SCRIBE 2,TABLET,,,,
A-DU,ZA,A-DU-ZA,1,1,PALAIKASTRO,0,,TABLET,,,,
A-DU-KU-MI,NA,A-DU-KU-MI-NA,1,1,ZAKROS,1,ZA SCRIBE 4,TABLET,,,,
A-DU-NI-TA,NA,A-DU-NI-TA-NA,1,1,ARKHALKHORI,0,,TABLET,,,,
A-JE,SA,A-JE-SA,1,1,IOUKTAS,0,,STONE VESSEL,,C,comparison-only,Formal extension is transmitted but A-JE-SA depends on an old reading of a now-lost painted inscription and cannot be independently rechecked
A-KA,RU,A-KA-RU,2,1,HAGHIA TRIADA,1,HT SCRIBE 6,TABLET,,,,
A-KA-NU-ZA,TI,A-KA-NU-ZA-TI,1,1,KNOSSOS,0,,INKED INSCRIPTION,,,,
A-KI,RO,A-KI-RO,1,1,ARKHALKHORI,0,,TABLET,,,,
A-KI-PI-E,TE,A-KI-PI-E-TE,1,1,KHANIA,1,KH SCRIBE 5,TABLET,,,,
A-KO-A,NE,A-KO-A-NE,1,1,PALAIKASTRO,0,,STONE VESSEL,,,,
A-KU-JU-PA,*118,A-KU-JU-PA-*118,1,1,PAPOUROU,0,,TABLET,,,,
A-KU-MI,NA,A-KU-MI-NA,1,1,ZAKROS,1,ZA SCRIBE 4,TABLET,,,,
A-MA,JA,A-MA-JA,1,1,KHANIA,1,KH SCRIBE 1,TABLET,,C,comparison-only,Both strings are complete but two-sign base and documentary mismatch leave common lexical identity unestablished
A-MA-WA,SI,A-MA-WA-SI,1,1,CRETE,0,,METAL OBJECT,,,,
A-MI,TA,A-MI-TA,1,1,ZAKROS,1,ZA SCRIBE 4,TABLET,,,,
A-MI-DA,O,A-MI-DA-O,1,1,PHAISTOS,0,,TABLET,,,,
A-MI-DA,U,A-MI-DA-U,1,1,ZAKROS,1,ZA SCRIBE 4,TABLET,,,,
A-PA,KI,A-PA-KI,1,1,KNOSSOS,0,,CLAY VESSEL,,,,
A-PA-RA,NE,A-PA-RA-NE,2,1,HAGHIA TRIADA,1,HT SCRIBE 8,TABLET,,,,
A-PA3,DI,A-PA3-DI,1,1,PALAIKASTRO,0,,CLAY VESSEL,,,,
A-PU2-NA,DU,A-PU2-NA-DU,1,1,HAGHIA TRIADA,1,HT SCRIBE 14,TABLET,,,,
A-RA,JU,A-RA-JU,1,1,HAGHIA TRIADA,1,HT SCRIBE 7,TABLET,,,,
A-RA,TU,A-RA-TU,1,1,ZAKROS,0,,TABLET,,,,
A-RA-KO-KU-ZU-WA-SA-TO-MA-RO-AU-TA-DE-PO-NI,ZA,A-RA-KO-KU-ZU-WA-SA-TO-MA-RO-AU-TA-DE-PO-NI-ZA,1,1,KOPHINAS,0,,METAL OBJECT,,,,
A-RA-NA,RE,A-RA-NA-RE,1,1,HAGHIA TRIADA,1,HT SCRIBE 21,TABLET,,,,
A-RA-TU,ME,A-RA-TU-ME,1,1,HAGHIA TRIADA,0,,ROUNDEL,,B,candidate,"Complete formal final-ME extension survives, but no same-site/scribe contextual identity or grammatical function is established"
A-RA-U,DA,A-RA-U-DA,1,1,KHANIA,1,KH SCRIBE 2,TABLET,,,,
A-RE-DA,I,A-RE-DA-I,1,1,HAGHIA TRIADA,0,,TABLET,,,,
A-RE-NE-SI-DI-*301-PI-KE-PA-JA-TA-RI-SE-TE-RI-MU-A-JA,KU,A-RE-NE-SI-DI-*301-PI-KE-PA-JA-TA-RI-SE-TE-RI-MU-A-JA-KU,1,1,KNOSSOS,0,,METAL OBJECT,,,,
A-RE-PI-RE,NA,A-RE-PI-RE-NA,1,1,ZAKROS,0,,CLAY VESSEL,,,,
A-RE-SA,NA,A-RE-SA-NA,1,1,THERA,0,,CLAY VESSEL,,,,
A-RI,PA,A-RI-PA,1,1,PETRAS,0,,TABLET,,C,comparison-only,Exact short-string extension survives but site/document/chronology mismatch leaves common lexical identity unproved
A-RI,SU,A-RI-SU,1,1,HAGHIA TRIADA,1,HT SCRIBE 3,TABLET,,C,comparison-only,Complete strings but site/chronology/document mismatch leaves common lexical identity unproved
A-RI-NI,TA,A-RI-NI-TA,2,2,HAGHIA TRIADA|ZAKROS,1,ZA SCRIBE 2,TABLET,,,,
A-RO,TE,A-RO-TE,1,1,CRETE,0,,STONE OBJECT,,,,
A-RU-DA,RA,A-RU-DA-RA,1,1,HAGHIA TRIADA,1,HT SCRIBE 13,TABLET,,,,
A-SA,RA2,A-SA-RA2,1,1,HAGHIA TRIADA,1,HT SCRIBE 2,TABLET,,,,
A-SA-DA,KA,A-SA-DA-KA,1,1,MALIA,0,,ROUNDEL,,,,
A-SA-MU,NE,A-SA-MU-NE,1,1,ZAKROS,0,,CLAY VESSEL,,,,
A-SA-SA-*802,ME,A-SA-SA-*802-ME,1,1,PRASSA,0,,STONE VESSEL,,,,
A-SA-SU-MA-I,SE,A-SA-SU-MA-I-SE,1,1,GOURNIA,0,,ROUNDEL,,,,
A-SE,JA,A-SE-JA,1,1,HAGHIA TRIADA,1,HT SCRIBE 8,TABLET,,B,candidate,Multiple complete base attestations plus complete administrative JA form; short base and lexical function prevent Tier-A promotion
A-SE-TU,*21F,A-SE-TU-*21F,1,1,PHAISTOS,0,,TABLET,,,,
A-SI-DA-TO,I,A-SI-DA-TO-I,1,1,ARKHALKHORI,1,ARKH SCRIBE 1,TABLET,,,,
A-SI-JA,KA,A-SI-JA-KA,2,1,HAGHIA TRIADA,1,HT SCRIBE 13,TABLET,,,,
A-SI-KI,RA,A-SI-KI-RA,1,1,KHANIA,1,KH SCRIBE 3,TABLET,anthroponymic_risk,,,
A-SI-SU-PO,A,A-SI-SU-PO-A,1,1,KHANIA,1,KH SCRIBE 1,TABLET,,,,
A-SU,JA,A-SU-JA,1,1,HAGHIA TRIADA,1,HT SCRIBE 24,TABLET,,,,
A-SU-MI,*118,A-SU-MI-*118,1,1,ARKHALKHORI,1,ARKH SCRIBE 1,TABLET,,,,
A-SU-PU,WA,A-SU-PU-WA,1,1,ARKHALKHORI,1,ARKH SCRIBE 1,TABLET,,,,
A-TA,*350,A-TA-*350,1,1,KHANIA,1,KH SCRIBE 2,TABLET,,,,
A-TA,DE,A-TA-DE,1,1,CRETE,0,,METAL OBJECT,,,,
A-TA,RE,A-TA-RE,1,1,ZAKROS,1,ZA SCRIBE 2,TABLET,,rejected,rejected,Right boundary of supposed base is broken
A-TA-I-*301-DE,KA,A-TA-I-*301-DE-KA,1,1,ZAKROS,0,,CLAY VESSEL,,,,
A-TA-I-*301-WA,E,A-TA-I-*301-WA-E,1,1,PALAIKASTRO,0,,STONE VESSEL,,,,
A-TA-I-*301-WA,JA,A-TA-I-*301-WA-JA,10,5,IOUKTAS|KOPHINAS|PALAIKASTRO|SYME|TROULLOS,0,,STONE VESSEL,,,,
A-TA-NA,JE,A-TA-NA-JE,1,1,THERA,0,,CLAY VESSEL,,,,
A-TA-NA,TE,A-TA-NA-TE,1,1,ZAKROS,1,ZA SCRIBE 4,TABLET,,rejected,rejected,Cleaned corpus flattened damaged continuation into bare A-TA-NA
A-TI,RU,A-TI-RU,1,1,ZAKROS,1,ZA SCRIBE 1,TABLET,,,,
A-TI-KA-A-DU-KO,MI,A-TI-KA-A-DU-KO-MI,2,1,ZAKROS,0,,ROUNDEL,,,,
A-TO-*349-TO,I,A-TO-*349-TO-I,1,1,KHANIA,1,KH SCRIBE 2,TABLET,,,,
A-TU-RI-SI,TI,A-TU-RI-SI-TI,1,1,KNOSSOS,0,,CLAY VESSEL,,,,
A-WA,PI,A-WA-PI,1,1,KNOSSOS,0,,METAL OBJECT,,,,
A-ZU,RA,A-ZU-RA,1,1,KNOSSOS,0,,INKED INSCRIPTION,,,,
AU-RE,TE,AU-RE-TE,1,1,KHANIA,1,KH SCRIBE 2,TABLET,,,,
AU-SI,RE,AU-SI-RE,2,1,PHAISTOS,0,,TABLET,,,,
DA-DU,*301,DA-DU-*301,1,0,,0,,STONE OBJECT,,,,
DA-DU-MA,TA,DA-DU-MA-TA,1,1,HAGHIA TRIADA,0,,TABLET,,,,
DA-DU-MI,NE,DA-DU-MI-NE,1,1,KNOSSOS,0,,METAL OBJECT,,,,
DA-I-PI,TA,DA-I-PI-TA,2,1,ZAKROS,2,ZA SCRIBE 2|ZA SCRIBE 4,TABLET,,,,
