stem,ending_count,endings,form_count,total_occurrences,site_count,scribe_count,manual_ab_cells,manual_reviewed_cells,forms
SI-DA,3,RE|RO|TE,3,4,3,3,0,0,RE:SI-DA-RE | RO:SI-DA-RO | TE:SI-DA-TE
A-TA,3,*350|DE|RE,3,3,3,2,0,1,*350:A-TA-*350 | DE:A-TA-DE | RE:A-TA-RE[rejected]
I-DA,3,A|DA|MI,3,3,3,0,2,3,A:I-DA-A[B] | DA:I-DA-DA[C] | MI:I-DA-MI[A]
KU-PA,3,JA|RI|ZU,3,3,3,1,1,1,JA:KU-PA-JA[A] | RI:KU-PA-RI | ZU:KU-PA-ZU
A-TA-I-*301-WA,2,E|JA,2,11,5,0,0,0,E:A-TA-I-*301-WA-E | JA:A-TA-I-*301-WA-JA
TI-TI,2,KU|MA,2,3,3,0,0,0,KU:TI-TI-KU | MA:TI-TI-MA
KU-PA3,2,NU|PA3,2,9,2,3,0,0,NU:KU-PA3-NU | PA3:KU-PA3-PA3
DI-NA,2,RO|U,2,6,2,2,0,1,RO:DI-NA-RO[rejected] | U:DI-NA-U
KU-NI,2,SU|TE,2,5,2,1,0,2,SU:KU-NI-SU[rejected] | TE:KU-NI-TE[rejected]
PA3-NI,2,NA|WI,2,4,2,1,1,1,NA:PA3-NI-NA | WI:PA3-NI-WI[B]
QA-QA,2,DA|RU,2,4,2,3,0,0,DA:QA-QA-DA | RU:QA-QA-RU
TA-NA,2,TE|TI,2,4,2,2,0,0,TE:TA-NA-TE | TI:TA-NA-TI
KI-RE,2,TA2|ZA,2,3,2,2,0,0,TA2:KI-RE-TA2 | ZA:KI-RE-ZA
KI-RI,2,SI|TA2,2,3,2,1,0,0,SI:KI-RI-SI | TA2:KI-RI-TA2
MA-KA-I,2,SE|TA,2,3,2,2,0,0,SE:MA-KA-I-SE | TA:MA-KA-I-TA
A-DA,2,RA|RO,2,2,2,0,1,2,RA:A-DA-RA[C] | RO:A-DA-RO[B]
A-MI-DA,2,O|U,2,2,2,1,0,0,O:A-MI-DA-O | U:A-MI-DA-U
A-RA,2,JU|TU,2,2,2,1,0,0,JU:A-RA-JU | TU:A-RA-TU
A-RI,2,PA|SU,2,2,2,1,0,2,PA:A-RI-PA[C] | SU:A-RI-SU[C]
A-TA-NA,2,JE|TE,2,2,2,1,0,1,JE:A-TA-NA-JE | TE:A-TA-NA-TE[rejected]
DA-NA,2,SI|TU,2,2,2,0,0,0,SI:DA-NA-SI | TU:DA-NA-TU
JA-SA,2,JA|MU,2,2,2,1,0,1,JA:JA-SA-JA[rejected] | MU:JA-SA-MU
JA-WA,2,PA3|PI,2,2,2,0,0,0,PA3:JA-WA-PA3 | PI:JA-WA-PI
MI-DA,2,NI|RA,2,2,2,1,1,1,NI:MI-DA-NI | RA:MI-DA-RA[B]
QA-TI,2,JU|KI,2,2,2,1,0,0,JU:QA-TI-JU | KI:QA-TI-KI
U-NA,2,A|NA,2,2,2,0,0,0,A:U-NA-A | NA:U-NA-NA
U-NA-RU-KA-NA,2,SI|TI,2,2,2,0,0,0,SI:U-NA-RU-KA-NA-SI | TI:U-NA-RU-KA-NA-TI
QE-RA2,2,JA|U,2,4,1,1,0,0,JA:QE-RA2-JA | U:QE-RA2-U
DA-TA,2,RA|RE,2,2,1,1,0,0,RA:DA-TA-RA | RE:DA-TA-RE
KI-DA,2,RO|TA,2,2,1,2,0,1,RO:KI-DA-RO[rejected] | TA:KI-DA-TA
KU-RU,2,KU|MA,2,2,1,2,0,0,KU:KU-RU-KU | MA:KU-RU-MA
PI-TA,2,JA|RA,2,2,1,1,0,0,JA:PI-TA-JA | RA:PI-TA-RA
SI-KI,2,NE|RA,2,2,1,1,0,0,NE:SI-KI-NE | RA:SI-KI-RA
