side,rank,sign,boundary_count,internal_count,boundary_enrichment_log2
prefix,1,*306,8,0,4.206835
prefix,2,*86,7,0,4.026263
prefix,3,*188,5,0,3.578804
prefix,4,*28B,4,0,3.289297
prefix,5,*309,4,0,3.289297
prefix,6,A,110,12,3.263418
prefix,7,*312,3,0,2.926727
prefix,8,*324,3,0,2.926727
prefix,9,*333,3,0,2.926727
prefix,10,*815,3,0,2.926727
prefix,11,WI,7,1,2.441300
prefix,12,*309B,2,0,2.441300
prefix,13,JE,5,1,1.993841
prefix,14,U,31,10,1.704335
prefix,15,*309C,1,0,1.704335
prefix,16,*317,1,0,1.704335
prefix,17,*318,1,0,1.704335
prefix,18,*322,1,0,1.704335
prefix,19,*327,1,0,1.704335
prefix,20,*328,1,0,1.704335
prefix,21,*352,1,0,1.704335
prefix,22,*355,1,0,1.704335
prefix,23,*363,1,0,1.704335
prefix,24,*539,1,0,1.704335
prefix,25,*554,1,0,1.704335
prefix,26,*560,1,0,1.704335
prefix,27,*810,1,0,1.704335
prefix,28,*903,1,0,1.704335
prefix,29,*905,1,0,1.704335
prefix,30,QE,18,6,1.628386
prefix,31,QA,25,9,1.543870
prefix,32,O,6,2,1.497884
prefix,33,KU,67,28,1.363298
prefix,34,*805,3,1,1.341765
prefix,35,PU,5,2,1.256876
prefix,36,*21F,9,5,0.907868
prefix,37,JA,36,21,0.882932
prefix,38,*305,2,1,0.856338
prefix,39,*47,2,1,0.856338
prefix,40,TA2,2,1,0.856338
prefix,41,PA,28,17,0.822979
prefix,42,E,5,3,0.771449
prefix,43,KA,38,25,0.713733
prefix,44,AU,3,2,0.604799
prefix,45,DA,52,39,0.529837
prefix,46,SI,36,30,0.378459
prefix,47,I,47,40,0.349378
prefix,48,SA,47,43,0.246284
prefix,49,KI,34,32,0.205529
prefix,50,PO,3,3,0.119372
prefix,51,*323,2,2,0.119372
prefix,52,MU,2,2,0.119372
prefix,53,*22M,0,0,0.119372
prefix,54,*308,0,0,0.119372
prefix,55,*321,0,0,0.119372
prefix,56,*329,0,0,0.119372
prefix,57,*331,0,0,0.119372
prefix,58,*344,0,0,0.119372
prefix,59,*345,0,0,0.119372
prefix,60,*350,0,0,0.119372
prefix,61,*351,0,0,0.119372
prefix,62,*353,0,0,0.119372
prefix,63,*354,0,0,0.119372
prefix,64,*362,0,0,0.119372
prefix,65,*516,0,0,0.119372
prefix,66,*82,0,0,0.119372
prefix,67,*904,0,0,0.119372
prefix,68,*164,1,1,0.119372
prefix,69,TE,14,17,-0.151930
prefix,70,ME,3,4,-0.243198
prefix,71,TU,12,16,-0.281166
prefix,72,ZU,8,11,-0.316727
prefix,73,PI,11,16,-0.401460
prefix,74,KO,4,6,-0.411143
prefix,75,MA,21,31,-0.431643
prefix,76,DI,18,29,-0.553818
prefix,77,PA3,11,18,-0.566519
prefix,78,DU,12,20,-0.594324
prefix,79,SE,7,14,-0.831718
prefix,80,MI,12,26,-0.964692
prefix,81,RU,11,24,-0.971776
prefix,82,RA2,3,7,-0.980164
prefix,83,TO,3,7,-0.980164
prefix,84,WA,9,20,-0.990252
prefix,85,KE,2,5,-1.018131
prefix,86,*118,1,3,-1.103020
prefix,87,*314,1,3,-1.103020
prefix,88,TA,22,55,-1.183191
prefix,89,RE,9,24,-1.247410
prefix,90,RO,2,6,-1.259140
prefix,91,SU,6,17,-1.309471
prefix,92,TI,10,30,-1.419048
prefix,93,*22F,0,1,-1.465590
prefix,94,*307,0,1,-1.465590
prefix,95,*342,0,1,-1.465590
prefix,96,*349,0,1,-1.465590
prefix,97,*49,0,1,-1.465590
prefix,98,*802,0,1,-1.465590
prefix,99,NWA,0,1,-1.465590
prefix,100,*34,1,5,-1.755097
prefix,101,PU2,1,5,-1.755097
prefix,102,RI,9,36,-1.822525
prefix,103,DE,3,13,-1.828160
prefix,104,NU,5,22,-1.913049
prefix,105,*301,4,20,-2.068255
prefix,106,JU,1,7,-2.202556
prefix,107,NI,5,29,-2.303839
prefix,108,NE,1,8,-2.383128
prefix,109,RA,6,37,-2.409007
prefix,110,NA,7,60,-2.892601
prefix,111,*325,0,4,-3.050553
prefix,112,*310,0,6,-3.581068
prefix,113,ZA,0,11,-4.404190
suffix,1,RO,60,6,3.337796
suffix,2,TA2,10,1,2.926727
suffix,3,*306,3,0,2.926727
suffix,4,RA2,39,7,2.516262
suffix,5,JE,7,1,2.441300
suffix,6,*188,2,0,2.441300
suffix,7,*308,2,0,2.441300
suffix,8,*321,2,0,2.441300
suffix,9,*331,2,0,2.441300
suffix,10,*86,2,0,2.441300
suffix,11,*118,15,3,2.266213
suffix,12,ME,19,4,2.234849
suffix,13,*305,5,1,1.993841
suffix,14,WI,5,1,1.993841
suffix,15,*22M,1,0,1.704335
suffix,16,*28B,1,0,1.704335
suffix,17,*312,1,0,1.704335
suffix,18,*317,1,0,1.704335
suffix,19,*329,1,0,1.704335
suffix,20,*344,1,0,1.704335
suffix,21,*345,1,0,1.704335
suffix,22,*350,1,0,1.704335
suffix,23,*351,1,0,1.704335
suffix,24,*353,1,0,1.704335
suffix,25,*354,1,0,1.704335
suffix,26,*362,1,0,1.704335
suffix,27,*363,1,0,1.704335
suffix,28,*516,1,0,1.704335
suffix,29,*82,1,0,1.704335
suffix,30,*904,1,0,1.704335
suffix,31,NE,22,8,1.523762
suffix,32,TE,45,17,1.497884
suffix,33,E,8,3,1.399480
suffix,34,*49,3,1,1.341765
suffix,35,MU,5,2,1.256876
suffix,36,PU,5,2,1.256876
suffix,37,JA,43,21,1.136051
suffix,38,RE,46,24,1.043821
suffix,39,JU,13,7,0.967369
suffix,40,SE,24,14,0.876101
suffix,41,ZA,16,11,0.640204
suffix,42,TI,37,30,0.417453
suffix,43,RU,28,24,0.337552
suffix,44,TU,18,16,0.284431
suffix,45,KA,27,25,0.228306
suffix,46,QE,6,6,0.119372
suffix,47,KE,5,5,0.119372
suffix,48,*309,0,0,0.119372
suffix,49,*309B,0,0,0.119372
suffix,50,*309C,0,0,0.119372
suffix,51,*318,0,0,0.119372
suffix,52,*322,0,0,0.119372
suffix,53,*324,0,0,0.119372
suffix,54,*327,0,0,0.119372
suffix,55,*328,0,0,0.119372
suffix,56,*333,0,0,0.119372
suffix,57,*352,0,0,0.119372
suffix,58,*355,0,0,0.119372
suffix,59,*539,0,0,0.119372
suffix,60,*554,0,0,0.119372
suffix,61,*560,0,0,0.119372
suffix,62,*810,0,0,0.119372
suffix,63,*815,0,0,0.119372
suffix,64,*903,0,0,0.119372
suffix,65,*905,0,0,0.119372
suffix,66,U,10,10,0.119372
suffix,67,*47,1,1,0.119372
suffix,68,PA,16,17,0.034483
suffix,69,DU,17,20,-0.108897
suffix,70,*21F,4,5,-0.170135
suffix,71,PU2,4,5,-0.170135
suffix,72,SI,24,30,-0.196655
suffix,73,MI,20,26,-0.250996
suffix,74,RA,28,37,-0.276557
suffix,75,NU,16,22,-0.328087
suffix,76,MA,22,31,-0.366055
suffix,77,DI,20,29,-0.405719
suffix,78,NA,37,60,-0.570672
suffix,79,O,1,2,-0.617594
suffix,80,SU,10,17,-0.617594
suffix,81,PA3,10,18,-0.697764
