side,rank,sign,secure_exact_pairs,warned_secure_pairs,structural_excluded_pairs,total_apparent_pairs,secure_examples
prefix,1,A,6,2,5,11,KA-RU ~ A-KA-RU | SA-RA2 ~ A-SA-RA2 | PA-RA-NE ~ A-PA-RA-NE [warn] | SI-KI-RA ~ A-SI-KI-RA [warn] | TA-NA-TE ~ A-TA-NA-TE | KI-RO ~ A-KI-RO
prefix,2,SI,4,1,2,6,KI-RA ~ SI-KI-RA [warn] | DA-RE ~ SI-DA-RE | *805-MI ~ SI-*805-MI | TE-TU ~ SI-TE-TU
prefix,3,I,4,0,5,9,RU-JA ~ I-RU-JA | TA-JA ~ I-TA-JA | QA-*118 ~ I-QA-*118 | DA-MA-TE ~ I-DA-MA-TE
prefix,4,PI,3,0,0,3,TA-JA ~ PI-TA-JA | TA-RA ~ PI-TA-RA | TE-RI ~ PI-TE-RI
prefix,5,KA,3,0,2,5,SA-RU ~ KA-SA-RU | KU-PA ~ KA-KU-PA | RE-RO ~ KA-RE-RO
prefix,6,KE,2,0,0,2,KI-RU ~ KE-KI-RU | SI-TE ~ KE-SI-TE
prefix,7,NA,2,0,0,2,DA-RE ~ NA-DA-RE | A-PA3 ~ NA-A-PA3
prefix,8,TU,2,0,0,2,SU-PU2 ~ TU-SU-PU2 | RU-SA ~ TU-RU-SA
prefix,9,DA,2,0,1,3,TA-RA ~ DA-TA-RA | U-*49 ~ DA-U-*49
prefix,10,KI,2,0,2,4,RE-TA2 ~ KI-RE-TA2 | RE-ZA ~ KI-RE-ZA
prefix,11,JA,1,0,0,1,SA-SA-RA-ME ~ JA-SA-SA-RA-ME
prefix,12,RE,1,0,0,1,A-JA ~ RE-A-JA
prefix,13,TA,1,0,0,1,NA-TI ~ TA-NA-TI
prefix,14,TE,1,1,0,1,JA-RE ~ TE-JA-RE [warn]
prefix,15,U,1,0,0,1,QE-TI ~ U-QE-TI
prefix,16,QA,1,0,1,2,QA-RU ~ QA-QA-RU
prefix,17,QE,1,0,1,2,SI-TE ~ QE-SI-TE
prefix,18,TI,1,0,1,2,TI-MA ~ TI-TI-MA
prefix,19,KU,1,0,2,3,PA-JA ~ KU-PA-JA
prefix,20,MI,1,0,2,3,NU-TE ~ MI-NU-TE
prefix,21,PA,1,1,2,3,JA-RE ~ PA-JA-RE [warn]
prefix,22,*118,0,0,1,1,
prefix,23,*312,0,0,1,1,
prefix,24,*86,0,0,1,1,
prefix,25,E,0,0,1,1,
prefix,26,MA,0,0,1,1,
prefix,27,NE,0,0,1,1,
prefix,28,NU,0,0,1,1,
prefix,29,O,0,0,1,1,
prefix,30,PU2,0,0,1,1,
prefix,31,RA,0,0,1,1,
prefix,32,RI,0,0,1,1,
prefix,33,RO,0,0,1,1,
prefix,34,WI,0,0,1,1,
prefix,35,DI,0,0,2,2,
prefix,36,DU,0,0,2,2,
prefix,37,SA,0,0,2,2,
prefix,38,WA,0,0,2,2,
