base,extended,added_sign,base_len,base_tokens,extended_tokens,base_docs,extended_docs,base_sites,extended_sites,same_document_docs,isolated_extended_dip_docs,auto_factorization_clear
*306-TU,*306-TU-JA,JA,2,4,1,HT 119;HT 122a;HT 9a;HT 9b,HT 115b,Haghia Triada,Haghia Triada,,,0
A-MA,A-MA-JA,JA,2,1,1,MA 1b,KH 14,Mallia,Khania,,,0
KU-PA,KU-PA-JA,JA,2,3,1,HT 110a;ZA 11a;ZA 11b,HT 116a,Haghia Triada;Zakros,Haghia Triada,,,0
PA-SE,PA-SE-JA,JA,2,2,2,HT 18;HT 27b,HT Wc 3001;HT Wc 3002,Haghia Triada,Haghia Triada,,HTWc3001;HTWc3002,1
KU-RA,KU-RA-MU,MU,2,1,1,ZA 20,HT 117a,Zakros,Haghia Triada,,,0
PA-RA,PA-RA-NE,NE,2,2,2,HT 128a;PH 3a,HT 115a;HT 115b,Haghia Triada;Phaistos,Haghia Triada,,,0
A-RI,A-RI-PA,PA,2,2,1,PH 6,PE 2,Phaistos,Petras,,,0
KA-KU,KA-KU-PA,PA,2,1,3,HT 62+73,HT 16;HT Wc 3015a;HT Wc 3016a,Haghia Triada,Haghia Triada,,,0
TU-SU,TU-SU-PU₂,PU₂,2,1,1,PK 1a,HT 49a,Palaiokastro,Haghia Triada,,,0
KA-PA,KA-PA-QE,QE,2,5,1,HT 102;HT 140;HT 6a;HT 8b;HT 94a,HT 6a,Haghia Triada,Haghia Triada,HT 6a,,0
PA-JA,PA-JA-RE,RE,2,1,4,HT 41a,HT 29;HT 88;HT 8b;ZA 10b,Haghia Triada,Haghia Triada;Zakros,,,0
KU-PA,KU-PA-RI,RI,2,3,1,HT 110a;ZA 11a;ZA 11b,PE 1,Haghia Triada;Zakros,Petras,,,0
A-DA,A-DA-RO,RO,2,1,1,TY 3a,ARKH 5,Tylissos,Arkhanes,,,0
SA-MA,SA-MA-RO,RO,2,4,1,HT 10a;HT 52a;HT 6b;ZA 10b,HT 88,Haghia Triada;Zakros,Haghia Triada,,,0
DI-DE,DI-DE-RU,RU,2,1,2,HT 86b,HT 86a;HT 95b,Haghia Triada,Haghia Triada,,,0
RU-MA-TA,RU-MA-TA-SE,SE,3,2,1,HT 29;HT 99b,ZA 20,Haghia Triada,Zakros,,,0
A-RI,A-RI-SU,SU,2,2,1,PH 6,HT 118,Phaistos,Haghia Triada,,,0
A-MI,A-MI-TA,TA,2,1,1,KH 102,ZA 10b,Khania,Zakros,,,0
DA-KU-SE-NE,DA-KU-SE-NE-TI,TI,4,1,1,HT 103,HT 104,Haghia Triada,Haghia Triada,,,0
JA-KU,JA-KU-TI,TI,2,1,1,MA 2b,KN 1a,Mallia,Knossos,,,0
RI-RU-MA,RI-RU-MA-TI,TI,3,1,1,HT 118,PH 31b,Haghia Triada,Phaistos,,,0
SI-TE,SI-TE-TU,TU,2,1,1,ZA 26a,ZA 20,Zakros,Zakros,,,0
A-DU,A-DU-ZA,ZA,2,7,1,HT 133;HT 85a;HT 86a;HT 88;HT 92;HT 95b;HT 99a,PK 1a,Haghia Triada,Palaiokastro,,,0
