site,role,n,positive,negative,positive_docs,max_positive_doc_share,abundance_gate
Pylos,SR01,5830,415,5415,163,0.08433734939759036,True
Pylos,SR02,5830,834,4996,373,0.023980815347721823,True
Pylos,SR03,5830,1556,4274,582,0.02056555269922879,True
Pylos,SR04,5830,48,5782,29,0.20833333333333334,False
Pylos,SR05,5830,1417,4413,121,0.06069160197600565,True
Pylos,SR06,5830,107,5723,27,0.08411214953271028,False
Pylos,SR07,5830,5,5825,2,0.6,False
Pylos,SR08,5830,3,5827,3,0.3333333333333333,False
Pylos,SR09,5830,512,5318,286,0.041015625,True
Knossos,SR01,3457,266,3191,130,0.05639097744360902,True
Knossos,SR02,3457,824,2633,539,0.06553398058252427,True
Knossos,SR03,3457,1318,2139,834,0.04324734446130501,True
Knossos,SR04,3457,54,3403,25,0.2222222222222222,False
Knossos,SR05,3457,342,3115,78,0.09064327485380116,True
Knossos,SR06,3457,82,3375,23,0.0975609756097561,False
Knossos,SR07,3457,5,3452,2,0.6,False
Knossos,SR08,3457,2,3455,2,0.5,False
Knossos,SR09,3457,926,2531,731,0.017278617710583154,True
