mode,site,role,direction,status,recoveries,reps_completed,exact95_lower,power_pass,median_delta_ll,components,largest_component_rows,largest_component_share,folds,train_site,test_site
within,Pylos,SR01,suffix,SCORED,0.0,0.0,0.0,False,,60.0,5740.0,0.9845626072041166,5.0,,
within,Pylos,SR01,prefix,SCORED,47.0,100.0,0.3694051641943945,False,-0.7846891585472129,71.0,5725.0,0.9819897084048027,5.0,,
within,Pylos,SR02,suffix,SCORED,39.0,100.0,0.294010414853417,False,-1.053071457493136,60.0,5740.0,0.9845626072041166,5.0,,
within,Pylos,SR02,prefix,SCORED,73.0,100.0,0.6319837270910251,False,3.0745383747181245,71.0,5725.0,0.9819897084048027,5.0,,
within,Pylos,SR03,suffix,SCORED,52.0,100.0,0.41778976540630663,False,0.29784475806184596,60.0,5740.0,0.9845626072041166,5.0,,
within,Pylos,SR03,prefix,SCORED,74.0,100.0,0.6426879368998963,False,2.4799707207807993,71.0,5725.0,0.9819897084048027,5.0,,
within,Pylos,SR04,suffix,NOT_ELIGIBLE_ABUNDANCE_OR_COMPONENT,,,,False,,,,,,,
within,Pylos,SR04,prefix,NOT_ELIGIBLE_ABUNDANCE_OR_COMPONENT,,,,False,,,,,,,
within,Pylos,SR05,suffix,SCORED,0.0,0.0,0.0,False,,60.0,5740.0,0.9845626072041166,5.0,,
within,Pylos,SR05,prefix,SCORED,0.0,0.0,0.0,False,,71.0,5725.0,0.9819897084048027,5.0,,
within,Pylos,SR06,suffix,NOT_ELIGIBLE_ABUNDANCE_OR_COMPONENT,,,,False,,,,,,,
within,Pylos,SR06,prefix,NOT_ELIGIBLE_ABUNDANCE_OR_COMPONENT,,,,False,,,,,,,
within,Pylos,SR07,suffix,NOT_ELIGIBLE_ABUNDANCE_OR_COMPONENT,,,,False,,,,,,,
within,Pylos,SR07,prefix,NOT_ELIGIBLE_ABUNDANCE_OR_COMPONENT,,,,False,,,,,,,
within,Pylos,SR08,suffix,NOT_ELIGIBLE_ABUNDANCE_OR_COMPONENT,,,,False,,,,,,,
within,Pylos,SR08,prefix,NOT_ELIGIBLE_ABUNDANCE_OR_COMPONENT,,,,False,,,,,,,
within,Pylos,SR09,suffix,SCORED,60.0,100.0,0.4972091504223347,False,0.8906466719352149,60.0,5740.0,0.9845626072041166,5.0,,
within,Pylos,SR09,prefix,SCORED,66.0,100.0,0.5584667322490411,False,1.4361455455980474,71.0,5725.0,0.9819897084048027,5.0,,
within,Knossos,SR01,suffix,SCORED,1.0,100.0,0.00025314603297742064,False,-5.689035886921657,235.0,3126.0,0.9042522418281748,5.0,,
within,Knossos,SR01,prefix,SCORED,1.0,100.0,0.00025314603297742064,False,-9.127905425570532,226.0,3154.0,0.9123517500723171,5.0,,
within,Knossos,SR02,suffix,SCORED,87.0,100.0,0.7879593229125502,True,4.9402075449952285,235.0,3126.0,0.9042522418281748,5.0,,
within,Knossos,SR02,prefix,SCORED,87.0,100.0,0.7879593229125502,True,5.089060368405364,226.0,3154.0,0.9123517500723171,5.0,,
within,Knossos,SR03,suffix,SCORED,92.0,100.0,0.848442364135579,True,6.784633431097236,235.0,3126.0,0.9042522418281748,5.0,,
within,Knossos,SR03,prefix,SCORED,88.0,100.0,0.7997643163800312,True,5.9661346908102715,226.0,3154.0,0.9123517500723171,5.0,,
within,Knossos,SR04,suffix,NOT_ELIGIBLE_ABUNDANCE_OR_COMPONENT,,,,False,,,,,,,
within,Knossos,SR04,prefix,NOT_ELIGIBLE_ABUNDANCE_OR_COMPONENT,,,,False,,,,,,,
within,Knossos,SR05,suffix,SCORED,86.0,100.0,0.7762720186294323,True,4.797353767273267,235.0,3126.0,0.9042522418281748,5.0,,
within,Knossos,SR05,prefix,SCORED,65.0,100.0,0.5481506381760306,False,1.9582915499805114,226.0,3154.0,0.9123517500723171,5.0,,
within,Knossos,SR06,suffix,NOT_ELIGIBLE_ABUNDANCE_OR_COMPONENT,,,,False,,,,,,,
within,Knossos,SR06,prefix,NOT_ELIGIBLE_ABUNDANCE_OR_COMPONENT,,,,False,,,,,,,
within,Knossos,SR07,suffix,NOT_ELIGIBLE_ABUNDANCE_OR_COMPONENT,,,,False,,,,,,,
within,Knossos,SR07,prefix,NOT_ELIGIBLE_ABUNDANCE_OR_COMPONENT,,,,False,,,,,,,
within,Knossos,SR08,suffix,NOT_ELIGIBLE_ABUNDANCE_OR_COMPONENT,,,,False,,,,,,,
within,Knossos,SR08,prefix,NOT_ELIGIBLE_ABUNDANCE_OR_COMPONENT,,,,False,,,,,,,
within,Knossos,SR09,suffix,SCORED,74.0,100.0,0.6426879368998963,False,3.5428298271131755,235.0,3126.0,0.9042522418281748,5.0,,
within,Knossos,SR09,prefix,SCORED,75.0,100.0,0.6534475042411916,False,3.9086773892112947,226.0,3154.0,0.9123517500723171,5.0,,
transfer,,SR01,suffix,SCORED,83.0,100.0,0.7418245893678412,True,1.7253100677223256,,,,,Pylos,Knossos
transfer,,SR01,suffix,SCORED,91.0,100.0,0.8360177449703647,True,1.9675804040705125,,,,,Knossos,Pylos
transfer,,SR01,prefix,SCORED,83.0,100.0,0.7418245893678412,True,1.7253100677223256,,,,,Pylos,Knossos
transfer,,SR01,prefix,SCORED,91.0,100.0,0.8360177449703647,True,1.9675804040705125,,,,,Knossos,Pylos
