side,rank,sign,boundary_count,internal_count,boundary_enrichment_log2
prefix,1,*306,8,0,4.192645
prefix,2,*86,7,0,4.012073
prefix,3,*188,5,0,3.564614
prefix,4,*28B,4,0,3.275107
prefix,5,*309,4,0,3.275107
prefix,6,A,110,12,3.249229
prefix,7,*312,3,0,2.912537
prefix,8,*324,3,0,2.912537
prefix,9,*333,3,0,2.912537
prefix,10,*815,3,0,2.912537
prefix,11,*309B,2,0,2.427110
prefix,12,WI,7,1,2.427110
prefix,13,JE,5,1,1.979651
prefix,14,U,31,10,1.690145
prefix,15,*309C,1,0,1.690145
prefix,16,*317,1,0,1.690145
prefix,17,*318,1,0,1.690145
prefix,18,*322,1,0,1.690145
prefix,19,*327,1,0,1.690145
prefix,20,*328,1,0,1.690145
prefix,21,*352,1,0,1.690145
prefix,22,*355,1,0,1.690145
prefix,23,*363,1,0,1.690145
prefix,24,*539,1,0,1.690145
prefix,25,*554,1,0,1.690145
prefix,26,*560,1,0,1.690145
prefix,27,*810,1,0,1.690145
prefix,28,*903,1,0,1.690145
prefix,29,*905,1,0,1.690145
prefix,30,QE,18,6,1.614196
prefix,31,QA,25,9,1.529680
prefix,32,O,6,2,1.483694
prefix,33,KU,70,28,1.411844
prefix,34,*805,3,1,1.327575
prefix,35,PU,5,2,1.242686
prefix,36,JA,37,21,0.907736
prefix,37,*21F,9,5,0.893678
prefix,38,*305,2,1,0.842148
prefix,39,*47,2,1,0.842148
prefix,40,TA2,2,1,0.842148
prefix,41,PA,29,18,0.778372
prefix,42,E,5,3,0.757259
prefix,43,KA,38,25,0.699543
prefix,44,AU,3,2,0.590609
prefix,45,DA,52,39,0.515647
prefix,46,SI,36,30,0.364269
prefix,47,I,47,41,0.299998
prefix,48,SA,49,43,0.291595
prefix,49,KI,36,32,0.272639
prefix,50,*323,2,2,0.105182
prefix,51,MU,2,2,0.105182
prefix,52,PO,3,3,0.105182
prefix,53,*164,1,1,0.105182
prefix,54,*22M,0,0,0.105182
prefix,55,*308,0,0,0.105182
prefix,56,*321,0,0,0.105182
prefix,57,*329,0,0,0.105182
prefix,58,*331,0,0,0.105182
prefix,59,*344,0,0,0.105182
prefix,60,*345,0,0,0.105182
prefix,61,*350,0,0,0.105182
prefix,62,*351,0,0,0.105182
prefix,63,*353,0,0,0.105182
prefix,64,*354,0,0,0.105182
prefix,65,*362,0,0,0.105182
prefix,66,*516,0,0,0.105182
prefix,67,*82,0,0,0.105182
prefix,68,*904,0,0,0.105182
prefix,69,TE,14,17,-0.166120
prefix,70,TU,13,16,-0.184324
prefix,71,ME,3,4,-0.257388
prefix,72,ZU,8,11,-0.330917
prefix,73,PI,11,16,-0.415650
prefix,74,KO,4,6,-0.425332
prefix,75,MA,21,31,-0.445833
prefix,76,PA3,11,18,-0.580709
prefix,77,DU,12,20,-0.608514
prefix,78,DI,18,30,-0.616102
prefix,79,SE,7,14,-0.845908
prefix,80,RU,12,24,-0.865671
prefix,81,MI,12,26,-0.978882
prefix,82,RA2,3,7,-0.994353
prefix,83,TO,3,7,-0.994353
prefix,84,WA,9,20,-1.004442
prefix,85,KE,2,5,-1.032321
prefix,86,RE,10,24,-1.117210
prefix,87,SU,7,17,-1.117210
prefix,88,*118,1,3,-1.117210
prefix,89,*314,1,3,-1.117210
prefix,90,TA,22,55,-1.197381
prefix,91,TI,10,30,-1.433238
prefix,92,RO,2,7,-1.479780
prefix,93,*22F,0,1,-1.479780
prefix,94,*307,0,1,-1.479780
prefix,95,*342,0,1,-1.479780
prefix,96,*349,0,1,-1.479780
prefix,97,*49,0,1,-1.479780
prefix,98,*802,0,1,-1.479780
prefix,99,NWA,0,1,-1.479780
prefix,100,*34,1,5,-1.769287
prefix,101,PU2,1,5,-1.769287
prefix,102,RI,9,36,-1.836715
prefix,103,DE,3,13,-1.842350
