id,form,site,scribe,support,tokenIndex,warning_classes
HT1,QE-RA2-U,HAGHIA TRIADA,HT SCRIBE 21,TABLET,0,
HT1,KI-RO,HAGHIA TRIADA,HT SCRIBE 21,TABLET,3,
HT1,ZU-SU,HAGHIA TRIADA,HT SCRIBE 21,TABLET,6,
HT1,DI-DI-ZA-KE,HAGHIA TRIADA,HT SCRIBE 21,TABLET,9,
HT1,KU-PA3-NU,HAGHIA TRIADA,HT SCRIBE 21,TABLET,12,
HT1,A-RA-NA-RE,HAGHIA TRIADA,HT SCRIBE 21,TABLET,15,
HT2,A-KA-RU,HAGHIA TRIADA,,TABLET,0,
HT3,QE-RA2-JA,HAGHIA TRIADA,,TABLET,7,
HT3,MU-RU,HAGHIA TRIADA,,TABLET,16,
HT3,SI-TU-RA2-RE,HAGHIA TRIADA,,TABLET,21,
HT3,KU-PA3-NU,HAGHIA TRIADA,,TABLET,26,
HT6A,KA-PA,HAGHIA TRIADA,,TABLET,0,
HT6A,DA-TA-RA,HAGHIA TRIADA,,TABLET,3,
HT6A,PI-TA-JA,HAGHIA TRIADA,,TABLET,10,
HT6A,MA-*321,HAGHIA TRIADA,,TABLET,16,
HT6A,O-RA2-DI-NE,HAGHIA TRIADA,,TABLET,19,
HT6A,KA-PA-QE,HAGHIA TRIADA,,TABLET,22,
HT6A,DA-QE-RA,HAGHIA TRIADA,,TABLET,26,
HT6A,QE-PI-TA,HAGHIA TRIADA,,TABLET,29,
HT6B,WA-DU-NI-MI,HAGHIA TRIADA,,TABLET,0,
HT6B,RA-TI-SE,HAGHIA TRIADA,,TABLET,4,
HT6B,MA-RI-RE-I,HAGHIA TRIADA,,TABLET,7,
HT6B,DU-DA-MA,HAGHIA TRIADA,,TABLET,10,
HT6B,DA-KI,HAGHIA TRIADA,,TABLET,13,
HT6B,SA-MA,HAGHIA TRIADA,,TABLET,17,
HT6B,PA3-NI-NA,HAGHIA TRIADA,,TABLET,20,
HT7A,QE-TI,HAGHIA TRIADA,HT SCRIBE 11,TABLET,0,
HT7A,I-RU-JA,HAGHIA TRIADA,HT SCRIBE 11,TABLET,4,
HT7A,DU-JA,HAGHIA TRIADA,HT SCRIBE 11,TABLET,7,
HT7A,TA-NA-TI,HAGHIA TRIADA,HT SCRIBE 11,TABLET,10,
HT7A,DA-RE,HAGHIA TRIADA,HT SCRIBE 11,TABLET,13,
HT7A,TE-TU,HAGHIA TRIADA,HT SCRIBE 11,TABLET,16,
HT7B,*21F-TU-NE,HAGHIA TRIADA,HT SCRIBE 11,TABLET,0,
HT7B,DA-RU-*329,HAGHIA TRIADA,HT SCRIBE 11,TABLET,3,
HT8A,JE-DI,HAGHIA TRIADA,HT SCRIBE 2,TABLET,0,
HT8A,PA3-KA-RA-TI,HAGHIA TRIADA,HT SCRIBE 2,TABLET,4,
HT8A,TE-*301,HAGHIA TRIADA,HT SCRIBE 2,TABLET,12,
HT8A,QA-*310-I,HAGHIA TRIADA,HT SCRIBE 2,TABLET,15,
