commentary_id,form,exclude_count,boundary_insecure_count,continuation_fragment_count,complex_logogram_count,cross_script_count,source_override_count,reason_classes,evidence_text
16,SI-SE,1,0,0,1,0,0,complex_logogram,SI+SE {*529}
2,CAPM-KU,3,0,0,3,0,0,complex_logogram,CAPM + KU || CAPM+KU {*513}
2,DU-RI,1,1,0,0,0,0,physical_boundary,1 OVISF 1 [ B.2 ]-DU-RI CAPM 1 B.2 TU-[ B
2,OVISM-SI-AU-RE,1,0,0,1,0,0,complex_logogram,OVISM SI+AU[-RE
2,PA-TA-DA,1,1,0,0,0,0,physical_boundary,SI+AU-RE 1 A.3-4 PA-TA-DA[ ] 1 A.4 KU-RO CA
2,SI-AU-RE,1,0,0,1,0,0,complex_logogram,SI+AU-RE
APZA2,I-KU-PA,2,2,0,0,0,0,physical_boundary,A [ • • • • • • ] I-KU-PA 3-NA-TU-NA-TE [ . || GORILA PERHAPS: ] I-KU-PA 3-NA-TU-NA-TE[. C
APZA2,I-NA-JA-RE-TA,3,3,0,0,0,0,physical_boundary,2: ]PI-MI-NA-TE • I-NA-JA-RE-TA [ • • • ]-QA • .1 || I-]PI-MI-NA-TE • I-NA-JA-RE-TA [ ]QA • : 1. INVO || I-]PI-MI-NA-TE • I-NA-JA-RE-TA [ ]QA • COMMENTAR
APZA2,I-PI-NA-MA,1,1,0,0,0,0,physical_boundary,I]) .1: ]NA-SI • I-PI-NA-MA [ • • • • • • ] I
APZA2,NA-SI,3,3,0,0,0,0,physical_boundary,M III-LM I]) .1: ]NA-SI • I-PI-NA-MA [ • || SA-RA U-NA-RU-KA-]NA-SI • : 2. I-]PI-MI-N
APZA2,NA-TU-NA-TE,4,4,0,0,0,0,physical_boundary,• • • ] I-KU-PA 3-NA-TU-NA-TE [ .2: ]PI-MI-NA-T || HAPS: ] I-KU-PA 3-NA-TU-NA-TE[. CF. KU-PA3-NA-T || ACENAME]• KU-PA 3-NA-TU-NA-TE[ JA-SA-SA-RA U-NA
APZA2,PI-MI,1,1,0,0,0,0,physical_boundary,; HT 119.3). .2: ]PI-MI OVER [[ ]]. JGY:
APZA2,PI-MI-NA-TE,3,3,0,0,0,0,physical_boundary,A-TU-NA-TE [ .2: ]PI-MI-NA-TE • I-NA-JA-RE-TA [ || -]NA-SI • : 2. I-]PI-MI-NA-TE • I-NA-JA-RE-TA [
ARKH1,A-PA,1,1,0,0,0,0,physical_boundary,[ A.5 ]NE 2 J A.5 A-PA-[ A.6 ]MI-KI-SA-N
ARKH1,A-RA,1,1,0,0,0,0,physical_boundary,]KI[ A.2 ] • A.2 A-RA[ A.3 DEEST A.4 ]A
ARKH1,A-SU-MI,1,1,0,0,0,0,physical_boundary,A[ A.3 DEEST A.4 ]A-SU-MI-* 118 [ A.5 ]NE 2
